date,open,high,low,close,volume
2026-06-18,6191.89,6197.17,6073.72,6172.34,215751200
2026-06-19,6161.46,6215.06,6117.31,6177.14,266832600
2026-06-22,6217.05,6226.72,6052.94,6116.69,180410600
2026-06-23,6096.50,6121.77,5993.04,6101.33,198230600
2026-06-24,6128.27,6171.38,5876.93,5883.88,228307800
2026-06-25,5873.07,6056.20,5864.00,5999.04,187930400
2026-06-26,6010.34,6045.26,5830.14,5896.13,171995200
2026-06-29,5932.03,5942.77,5800.29,5820.79,117823200
2026-06-30,5801.45,5811.67,5638.57,5643.19,177538200
2026-07-01,5640.61,5737.74,5607.45,5695.12,157577500
2026-07-02,5709.84,5806.71,5704.50,5744.56,172862900
2026-07-03,5806.17,5899.30,5805.92,5875.78,158006000
2026-07-06,5893.28,5935.68,5857.35,5916.07,176040400
2026-07-07,5933.57,5987.01,5890.44,5986.50,197234200
2026-07-08,5984.18,5984.47,5872.02,5873.37,186818300
2026-07-09,5865.77,5912.44,5839.67,5912.44,220556700
2026-07-10,5936.04,5949.99,5887.83,5924.36,142216700
2026-07-13,5934.72,6037.84,5898.15,6037.84,224210800
2026-07-14,6057.76,6095.02,6002.90,6039.52,252906400
2026-07-15,6068.03,6081.23,6007.17,6041.97,187169500
2026-07-16,6056.75,6108.21,6024.35,6108.21,235078700
2026-07-17,6112.84,6192.66,6079.32,6175.54,205704000
2026-07-20,6197.48,6249.90,6191.04,6231.78,282256800
2026-07-21,6273.57,6340.02,6247.35,6340.02,441307800
2026-07-22,6366.01,6394.69,6284.88,6334.48,422793200
2026-07-23,6346.62,6454.31,6306.65,6315.31,570639300
2026-07-24,6266.98,6268.53,6159.15,6196.43,330175800
2026-07-27,6185.80,6219.42,6144.27,6185.78,241884600
2026-07-28,6175.20,6199.44,6130.59,6130.59,198014300
2026-07-29,6141.16,6174.41,6029.32,6091.39,288519700
2026-07-30,6110.28,6186.36,6106.55,6186.36,231176100
2026-07-31,6219.62,6236.62,6201.89,6236.13,274629600
2026-08-03,6272.62,6273.33,6212.55,6234.50,347512800
2026-08-04,6254.78,6319.61,6238.40,6319.61,291916500
2026-08-05,6338.59,6367.82,6316.10,6351.14,350837500
2026-08-06,6379.92,6388.20,6324.06,6343.71,506076700
2026-08-07,6352.38,6409.65,6347.43,6409.65,335303800
2026-08-10,6440.60,6462.74,6362.76,6365.37,395862600
2026-08-11,6383.81,6388.58,6230.10,6267.88,324921400
2026-08-12,6277.76,6373.85,6272.30,6373.85,294722600
2026-08-13,6388.23,6390.33,6281.57,6301.77,236598700
2026-08-14,6296.59,6401.89,6267.41,6401.89,226720200
2026-08-18,6448.83,6490.65,6448.26,6449.83,288255000
2026-08-19,6408.18,6490.91,6373.81,6394.12,295308900
2026-08-20,6447.25,6514.68,6444.40,6501.58,349455200
2026-08-21,6524.08,6551.96,6507.43,6525.69,378269100
2026-08-24,6544.00,6551.00,6474.57,6501.67,296534200
2026-08-26,6507.14,6532.17,6405.69,6405.69,329574600
2026-08-27,6390.35,6521.75,6376.65,6521.75,282061000
2026-08-28,6535.72,6566.90,6495.74,6518.12,266064500
2026-08-31,6511.11,6528.10,6476.17,6525.48,389387600
2026-09-01,6538.12,6608.18,6535.80,6599.94,418545000
2026-09-02,6625.39,6629.54,6561.00,6595.78,331276500
2026-09-03,6632.83,6681.84,6614.71,6667.89,373613100
2026-09-04,6695.69,6704.12,6633.92,6636.48,278246600
2026-09-07,6652.09,6667.75,6610.93,6619.67,302047400
2026-09-08,6639.51,6696.28,6636.94,6686.44,326049000
2026-09-09,6700.84,6707.31,6642.15,6678.20,287063700
2026-09-10,6688.17,6712.50,6585.56,6589.34,403016100
2026-09-11,6552.79,6552.79,6462.96,6541.38,266825300
