date,open,high,low,close,volume
2026-05-06,2380.00,2430.00,2240.00,2290.00,574559700
2026-05-07,2350.00,2450.00,2130.00,2160.00,618219900
2026-05-08,2120.00,2220.00,2010.00,2050.00,269783200
2026-05-11,2050.00,2150.00,1950.00,1985.00,340019500
2026-05-12,1995.00,2330.00,1920.00,2280.00,678949000
2026-05-13,2240.00,2330.00,2060.00,2080.00,459900200
2026-05-14,2080.00,2080.00,2080.00,2080.00,0
2026-05-15,2080.00,2080.00,2080.00,2080.00,0
2026-05-18,2050.00,2110.00,1960.00,2070.00,313014900
2026-05-19,2090.00,2150.00,1850.00,1915.00,341613000
2026-05-20,1880.00,1950.00,1655.00,1720.00,465468000
2026-05-21,1755.00,1770.00,1465.00,1530.00,566464000
2026-05-22,1525.00,1640.00,1485.00,1605.00,457516400
2026-05-25,1605.00,1625.00,1475.00,1480.00,239859100
2026-05-26,1475.00,1795.00,1460.00,1555.00,722089900
2026-05-27,1555.00,1555.00,1555.00,1555.00,0
2026-05-28,1555.00,1555.00,1555.00,1555.00,0
2026-05-29,1700.00,1940.00,1600.00,1940.00,1094454700
2026-06-02,2020.00,2220.00,1810.00,1930.00,986295000
2026-06-03,1925.00,1925.00,1655.00,1765.00,372768500
2026-06-04,1770.00,1785.00,1505.00,1615.00,383436600
2026-06-05,1670.00,1715.00,1480.00,1480.00,327602700
2026-06-08,1405.00,1515.00,1345.00,1385.00,320021400
2026-06-09,1390.00,1660.00,1345.00,1660.00,479036700
2026-06-10,1700.00,1915.00,1635.00,1760.00,651865800
2026-06-11,1760.00,1825.00,1585.00,1650.00,406741700
2026-06-12,1700.00,1770.00,1680.00,1700.00,279487700
2026-06-15,1760.00,1865.00,1750.00,1770.00,385243700
2026-06-17,1775.00,1805.00,1660.00,1685.00,199713700
2026-06-18,1685.00,1785.00,1640.00,1780.00,184538000
2026-06-19,1760.00,1795.00,1690.00,1700.00,276149300
2026-06-22,1710.00,1720.00,1590.00,1590.00,162340600
2026-06-23,1590.00,1680.00,1580.00,1675.00,140124900
2026-06-24,1675.00,1700.00,1515.00,1515.00,138891300
2026-06-25,1520.00,1635.00,1520.00,1580.00,178200300
2026-06-26,1580.00,1595.00,1460.00,1465.00,202958600
2026-06-29,1470.00,1480.00,1400.00,1405.00,138758200
2026-06-30,1415.00,1425.00,1270.00,1285.00,251384100
2026-07-01,1285.00,1460.00,1280.00,1380.00,387639800
2026-07-02,1380.00,1560.00,1355.00,1500.00,396835500
2026-07-03,1530.00,1570.00,1480.00,1485.00,228013300
2026-07-06,1500.00,1530.00,1475.00,1505.00,134893400
2026-07-07,1510.00,1590.00,1495.00,1580.00,282887500
2026-07-08,1580.00,1585.00,1500.00,1500.00,185622800
2026-07-09,1505.00,1620.00,1495.00,1600.00,166589300
2026-07-10,1620.00,1670.00,1590.00,1620.00,183796000
2026-07-13,1625.00,1750.00,1620.00,1750.00,318950900
2026-07-14,1765.00,1775.00,1660.00,1690.00,334787100
2026-07-15,1700.00,1725.00,1685.00,1690.00,93453400
2026-07-16,1695.00,1730.00,1675.00,1695.00,116862400
2026-07-17,1700.00,1715.00,1660.00,1695.00,140462700
2026-07-20,1700.00,1800.00,1700.00,1800.00,278158000
2026-07-21,1815.00,1875.00,1780.00,1860.00,342684500
2026-07-22,1870.00,1925.00,1800.00,1830.00,331295600
2026-07-23,1830.00,1905.00,1765.00,1790.00,342089300
2026-07-24,1755.00,1780.00,1690.00,1745.00,205955100
2026-07-27,1755.00,1770.00,1715.00,1725.00,114434700
2026-07-28,1715.00,1805.00,1715.00,1745.00,113567800
2026-07-29,1765.00,1795.00,1695.00,1785.00,198366100
2026-07-30,1785.00,1815.00,1730.00,1790.00,93465300
2026-07-31,1830.00,1850.00,1800.00,1845.00,162512500
2026-08-03,1890.00,1890.00,1780.00,1820.00,130168400
2026-08-04,1830.00,1855.00,1805.00,1855.00,88497700
2026-08-05,1870.00,1920.00,1860.00,1870.00,221111300
2026-08-06,1880.00,1910.00,1845.00,1875.00,218739200
2026-08-07,1885.00,1960.00,1875.00,1930.00,279412500
2026-08-10,1945.00,1955.00,1860.00,1860.00,205573700
2026-08-11,1860.00,1870.00,1785.00,1820.00,151431700
2026-08-12,1830.00,1960.00,1830.00,1950.00,274783200
2026-08-13,1955.00,1965.00,1850.00,1865.00,213207400
2026-08-14,1870.00,1900.00,1840.00,1870.00,90082200
2026-08-18,1875.00,1900.00,1845.00,1845.00,80418600
2026-08-19,1850.00,1875.00,1825.00,1855.00,51405900
2026-08-20,1875.00,1885.00,1860.00,1880.00,56245900
2026-08-21,1880.00,1905.00,1880.00,1890.00,80755000
2026-08-24,1900.00,1910.00,1845.00,1860.00,70591700
2026-08-25,1860.00,1860.00,1860.00,1860.00,0
2026-08-26,1850.00,1855.00,1750.00,1750.00,102436400
2026-08-27,1720.00,1840.00,1710.00,1840.00,66714500
2026-08-28,1840.00,1875.00,1805.00,1830.00,88806300
2026-08-31,1840.00,1860.00,1785.00,1785.00,120064100
2026-09-01,1790.00,1850.00,1785.00,1830.00,99984700
2026-09-02,1845.00,1845.00,1795.00,1820.00,73571100
2026-09-03,1830.00,1840.00,1800.00,1800.00,102183600
2026-09-04,1805.00,1830.00,1785.00,1790.00,86734000
2026-09-07,1795.00,1810.00,1765.00,1770.00,52507400
2026-09-08,1775.00,1790.00,1755.00,1760.00,53243600
2026-09-09,1760.00,1785.00,1725.00,1735.00,71220700
2026-09-10,1740.00,1785.00,1720.00,1730.00,94922600
2026-09-11,1720.00,1725.00,1685.00,1700.00,46175500
