date,open,high,low,close,volume
2026-06-18,810.00,830.00,795.00,805.00,891400
2026-06-19,810.00,820.00,795.00,795.00,406600
2026-06-22,800.00,815.00,770.00,800.00,910900
2026-06-23,795.00,825.00,765.00,780.00,1072300
2026-06-24,780.00,795.00,740.00,740.00,1388900
2026-06-25,745.00,770.00,725.00,745.00,1168700
2026-06-26,745.00,750.00,730.00,750.00,359700
2026-06-29,750.00,760.00,745.00,750.00,442700
2026-06-30,750.00,750.00,705.00,710.00,1150700
2026-07-01,710.00,740.00,705.00,710.00,440300
2026-07-02,710.00,735.00,680.00,680.00,2049000
2026-07-03,685.00,725.00,680.00,695.00,1774800
2026-07-06,700.00,725.00,695.00,710.00,266000
2026-07-07,705.00,710.00,695.00,705.00,357500
2026-07-08,710.00,710.00,680.00,685.00,523900
2026-07-09,710.00,760.00,695.00,745.00,1295700
2026-07-10,745.00,755.00,730.00,740.00,486800
2026-07-13,750.00,795.00,735.00,760.00,1732200
2026-07-14,775.00,780.00,755.00,755.00,768400
2026-07-15,750.00,770.00,745.00,750.00,965400
2026-07-16,755.00,760.00,750.00,760.00,526900
2026-07-17,760.00,760.00,750.00,760.00,286700
2026-07-20,760.00,760.00,745.00,755.00,527200
2026-07-21,750.00,760.00,720.00,725.00,2123500
2026-07-22,730.00,755.00,730.00,750.00,1152300
2026-07-23,760.00,830.00,740.00,760.00,3842200
2026-07-24,765.00,780.00,730.00,755.00,430800
2026-07-27,755.00,775.00,735.00,735.00,569800
2026-07-28,735.00,745.00,720.00,735.00,473300
2026-07-29,735.00,740.00,705.00,710.00,1038800
2026-07-30,715.00,760.00,710.00,725.00,538700
2026-07-31,735.00,765.00,730.00,740.00,1296300
2026-08-03,740.00,760.00,725.00,760.00,1236500
2026-08-04,760.00,805.00,760.00,795.00,1417800
2026-08-05,800.00,810.00,770.00,795.00,743400
2026-08-06,795.00,855.00,755.00,800.00,2360900
2026-08-07,800.00,810.00,775.00,785.00,517300
2026-08-10,805.00,815.00,790.00,795.00,882900
2026-08-11,800.00,810.00,765.00,765.00,4103200
2026-08-12,765.00,800.00,760.00,795.00,2194200
2026-08-13,820.00,830.00,785.00,795.00,909700
2026-08-14,800.00,815.00,785.00,815.00,860200
2026-08-18,815.00,825.00,805.00,810.00,1171800
2026-08-19,820.00,820.00,795.00,815.00,388300
2026-08-20,820.00,830.00,800.00,825.00,645700
2026-08-21,825.00,830.00,805.00,805.00,477500
2026-08-24,805.00,810.00,775.00,795.00,895100
2026-08-26,795.00,820.00,760.00,760.00,641800
2026-08-27,790.00,815.00,765.00,800.00,380600
2026-08-28,805.00,805.00,780.00,785.00,306900
2026-08-31,800.00,805.00,780.00,780.00,495000
2026-09-01,795.00,805.00,765.00,765.00,1460000
2026-09-02,780.00,780.00,765.00,775.00,684900
2026-09-03,765.00,790.00,765.00,785.00,648400
2026-09-04,785.00,795.00,775.00,790.00,428700
2026-09-07,790.00,795.00,770.00,770.00,748400
2026-09-08,770.00,800.00,765.00,795.00,1448200
2026-09-09,805.00,810.00,780.00,795.00,493200
2026-09-10,800.00,805.00,790.00,790.00,1393400
2026-09-11,790.00,800.00,775.00,795.00,517000
