date,open,high,low,close,volume
2025-09-13,116093.56,116334.63,115248.27,115950.51,34549454947
2025-09-14,115950.29,116181.5,115222.4,115407.66,32798036057
2025-09-15,115399.63,116747.88,114461.06,115444.88,52937859416
2025-09-16,115423.76,117005.27,114813.09,116843.19,45781744593
2025-09-17,116840.51,117328.61,114794.98,116468.51,60528025996
2025-09-18,116461.27,117911.79,116188.8,117137.2,49457272032
2025-09-19,117137.67,117479.76,115141.82,115688.86,38828473971
2025-09-20,115691.12,116191.15,115473.52,115721.96,22864449614
2025-09-21,115730.23,115901.09,115252.58,115306.09,22495852193
2025-09-22,115309.22,115431.31,112037.65,112748.51,70684158591
2025-09-23,112757.48,113351.91,111535.57,112014.5,47211853279
2025-09-24,112007.66,113986.27,111229.64,113328.63,48044595085
2025-09-25,113330.16,113541.09,108713.4,109049.29,75528654284
2025-09-26,109041.3,110359.2,108728.98,109712.83,57738288949
2025-09-27,109707.14,109778.5,109144.3,109681.95,26308042910
2025-09-28,109681.95,112375.48,109236.95,112122.64,33371048505
2025-09-29,112117.88,114473.57,111589.95,114400.38,60000147466
2025-09-30,114396.52,114836.62,112740.56,114056.09,58986330258
2025-10-01,114057.59,118648.93,113981.4,118648.93,71328680132
2025-10-02,118652.38,121086.41,118383.16,120681.26,71415163912
2025-10-03,120656.98,123944.7,119344.31,122266.53,83941392228
2025-10-04,122267.47,122857.64,121577.57,122425.43,36769171735
2025-10-05,122419.67,125559.21,122191.96,123513.48,73689317763
2025-10-06,123510.45,126198.07,123196.05,124752.53,72568881188
2025-10-07,124752.14,125184.02,120681.97,121451.38,76149412513
2025-10-08,121448.35,124167.09,121119.18,123354.87,65354305286
2025-10-09,123337.07,123739.34,119812.03,121705.59,74653009425
2025-10-10,121704.74,122509.66,104582.41,113214.37,153125018868
2025-10-11,113236.43,113429.73,109760.56,110807.88,110236934340
2025-10-12,110811.52,115805.06,109715.54,115169.77,93710414091
2025-10-13,115161.68,116020.48,113821.19,115271.08,71582026739
2025-10-14,115264.88,115502.88,110029.48,113118.66,92212917403
2025-10-15,113113.97,113622.38,110235.84,110783.16,72574132855
2025-10-16,110782.17,111990.81,107537.03,108186.04,87306423067
2025-10-17,108179.13,109235.8,103598.43,106467.79,99703051669
2025-10-18,106483.73,107490.98,106387.45,107198.27,37779905278
2025-10-19,107204.31,109488.99,106157.79,108666.71,47657008953
2025-10-20,108667.45,111711.03,107485.02,110588.93,63507793085
2025-10-21,110587.63,113996.34,107534.75,108476.89,101194375480
2025-10-22,108491.53,109115.13,106778.0,107688.59,80807013218
2025-10-23,107679.44,111288.59,107548.43,110069.73,54944076060
2025-10-24,110069.35,111842.53,109770.15,111033.92,48160816980
2025-10-25,111032.62,111947.7,110704.41,111641.73,24707667305
2025-10-26,111639.05,115260.91,111268.48,114472.45,41708524143
2025-10-27,114479.85,116273.31,113882.29,114119.33,61761358733
2025-10-28,114129.09,116078.98,112291.68,112956.16,64528066504
2025-10-29,112921.33,113642.73,109368.72,110055.3,62192043469
2025-10-30,110059.2,111612.35,106376.69,108305.55,69673964814
2025-10-31,108304.41,111031.82,108288.27,109556.16,60090359560
2025-11-01,109558.62,110574.9,109372.95,110064.02,25871668762
2025-11-02,110064.43,111167.31,109523.45,110639.62,34284209459
2025-11-03,110646.91,110764.91,105336.36,106547.52,72852006359
2025-11-04,106541.42,107264.88,98962.06,101590.52,110967184773
2025-11-05,101579.23,104534.7,98989.91,103891.84,77584934804
2025-11-06,103893.66,104147.3,100336.87,101301.29,63932752861
2025-11-07,101286.24,104052.91,99257.05,103372.41,92168030081
2025-11-08,103371.7,103373.56,101458.04,102282.12,51446691095
2025-11-09,102278.98,105418.37,101468.88,104719.64,59679243013
2025-11-10,104723.77,106564.7,104350.65,105996.59,69585887229
2025-11-11,105996.86,107428.26,102457.33,102997.47,71130078574
2025-11-12,103011.44,105297.23,100836.62,101663.19,64347179408
2025-11-13,101674.15,104005.49,97988.72,99697.49,101546815416
2025-11-14,99694.7,99804.43,94000.73,94397.79,114346441890
2025-11-15,94420.47,96728.47,94420.47,95549.15,38500716654
2025-11-16,95556.87,96564.19,92971.16,94177.08,71086235862
2025-11-17,94180.88,95928.37,91214.76,92093.88,94186165724
2025-11-18,92094.53,93745.08,89300.46,92948.88,101333569062
2025-11-19,92946.16,92946.16,88526.83,91465.99,80350354656
2025-11-20,91459.35,93025.07,86040.8,86631.9,97970645638
2025-11-21,86528.77,87380.8,80659.81,85090.69,129157506112
2025-11-22,85098.56,85503.01,83490.9,84648.36,40793099246
2025-11-23,84648.61,88038.47,84641.77,86805.01,58083435576
2025-11-24,86798.77,89206.34,85272.2,88270.56,74433896110
2025-11-25,88269.96,88457.34,86131.43,87341.89,64837343545
2025-11-26,87345.59,90581.16,86316.9,90518.37,66496301869
2025-11-27,90517.77,91897.58,90089.52,91285.38,57040622845
2025-11-28,91285.38,92969.09,90257.12,90919.27,60895830289
2025-11-29,90918.74,91187.62,90260.19,90851.76,37921773455
2025-11-30,90838.21,91965.05,90394.31,90394.31,38497902869
2025-12-01,90389.11,90398.16,83862.25,86321.57,87962894424
2025-12-02,86322.54,92316.63,86202.2,91350.2,78546798211
2025-12-03,91345.09,94060.77,91056.39,93527.8,77650204986
2025-12-04,93454.26,94038.24,90976.1,92141.62,64538402681
2025-12-05,92133.65,92702.64,88152.14,89387.76,63256398633
2025-12-06,89389.36,90267.46,88951.66,89272.38,37994042405
2025-12-07,89277.81,91740.84,87799.56,90405.64,47394898960
2025-12-08,90424.59,92267.12,89644.89,90640.2,57394099056
2025-12-09,90639.7,94601.57,89586.98,92691.71,66861721440
2025-12-10,92695.23,94477.16,91640.13,92020.95,65420694513
2025-12-11,92011.3,93554.27,89335.3,92511.34,64532834621
2025-12-12,92513.66,92747.93,89532.6,90270.41,80275884583
2025-12-13,90257.8,90647.57,89800.99,90298.71,64237748110
2025-12-14,90296.44,90498.11,87634.94,88175.18,50465972205
2025-12-15,88171.08,89983.92,85304.08,86419.78,45559514323
2025-12-16,86424.41,88170.09,85381.69,87843.98,41262178223
2025-12-17,87847.62,90264.57,85316.27,86143.76,44243392914
2025-12-18,86144.37,89412.66,84436.31,85462.51,52667115348
2025-12-19,85476.13,89339.12,85107.66,88103.38,46733310561
2025-12-20,88101.67,88497.2,87924.88,88344.0,14688196659
2025-12-21,88344.7,89027.95,87613.2,88621.75,19845522660
2025-12-22,88621.4,90501.93,87908.07,88490.02,38047472118
2025-12-23,88490.03,88898.38,86606.98,87414.0,43683011533
2025-12-24,87404.32,87956.88,86411.8,87611.96,25550297986
2025-12-25,87608.32,88501.79,86949.26,87234.74,19953216347
2025-12-26,87235.51,89459.43,86628.14,87301.43,42455674908
2025-12-27,87301.43,87874.78,87182.98,87802.16,13741199310
2025-12-28,87799.34,87986.89,87394.95,87835.84,15156557929
2025-12-29,87835.79,90299.16,86717.91,87138.14,48411625849
2025-12-30,87134.35,89297.94,86735.55,88430.13,35586356225
2025-12-31,88429.59,89080.29,87130.56,87508.83,33830210616
2026-01-01,87508.05,88803.23,87399.41,88731.98,18849043990
2026-01-02,88733.06,90884.46,88298.62,89944.7,46398906171
2026-01-03,89945.05,90679.57,89328.07,90603.19,20774828592
2026-01-04,90603.0,91712.59,90595.1,91413.49,26770491368
2026-01-05,91414.62,94762.07,91414.62,93882.55,53376407252
2026-01-06,93876.95,94395.3,91286.55,93729.03,52430605257
2026-01-07,93727.47,93738.79,90601.8,91308.05,43461295053
2026-01-08,91309.64,91485.85,89233.88,91027.12,42386697030
2026-01-09,91026.27,91910.67,89625.38,90513.1,38305906684
2026-01-10,90510.1,90713.03,90283.4,90386.65,12385895282
2026-01-11,90385.36,91155.23,90212.02,90827.46,17165568977
2026-01-12,90825.86,92395.52,90055.02,91192.99,41346275358
2026-01-13,91185.34,96011.62,90941.93,95321.78,54980674354
2026-01-14,95322.91,97860.6,94583.05,96929.33,60592490863
2026-01-15,96931.29,97150.17,95103.24,95551.19,53086363027
2026-01-16,95554.1,95801.89,94259.27,95525.12,33248170537
2026-01-17,95525.16,95598.48,95005.62,95099.92,16021715122
2026-01-18,95101.18,95491.51,93588.87,93634.43,20809781232
2026-01-19,93655.67,93660.83,92089.25,92553.59,39195241508
2026-01-20,92553.6,92798.43,87814.93,88310.91,53072968031
2026-01-21,88326.51,90430.41,87231.57,89376.96,56330422434
2026-01-22,89378.52,90258.96,88438.45,89462.45,35549685694
2026-01-23,89462.05,91100.25,88486.36,89503.88,38997586037
2026-01-24,89506.15,89811.61,89044.29,89110.73,14558687712
2026-01-25,89104.77,89193.15,86003.71,86572.22,36124986722
2026-01-26,86566.52,88743.07,86429.29,88267.14,45329286974
2026-01-27,88257.48,89427.12,87228.92,89102.57,38744942267
2026-01-28,89104.05,90439.29,88721.46,89184.57,39807419296
2026-01-29,89169.85,89200.78,83250.6,84561.59,64653083162
2026-01-30,84562.73,84602.16,81071.48,84128.66,72083816087
2026-01-31,84126.5,84136.92,75815.88,78621.12,70479259159
2026-02-01,78626.12,79322.61,75698.9,76974.45,53372509744
2026-02-02,76968.88,79258.61,74551.34,78688.77,75140589684
2026-02-03,78693.51,79118.85,72897.14,75633.55,68249110822
2026-02-04,75640.09,76864.66,71779.93,73019.7,67215363944
2026-02-05,73016.38,73161.55,62353.54,62702.1,125509410908
2026-02-06,62704.45,71681.3,60074.2,70555.39,114674259489
2026-02-07,70553.8,71611.15,67364.45,69281.97,62347107663
2026-02-08,69283.73,72206.91,68852.9,70264.73,39721722619
2026-02-09,70243.33,71369.97,68291.03,70120.78,52081598792
2026-02-10,70137.39,70464.27,67913.09,68793.96,40593063077
2026-02-11,68791.86,69242.68,65757.3,66991.97,49671946030
2026-02-12,66992.2,68339.49,65092.11,66221.84,44651071271
2026-02-13,66213.38,69382.84,65835.78,68857.84,40820775886
2026-02-14,68856.98,70481.16,68706.62,69767.62,36012397645
2026-02-15,69764.95,70939.29,68052.55,68788.19,40191152750
2026-02-16,68782.4,70067.23,67301.59,68843.16,33618145426
2026-02-17,68843.09,69201.87,66615.28,67494.22,34866936040
2026-02-18,67488.02,68434.43,65845.9,66425.32,33094301643
2026-02-19,66425.62,67277.12,65637.43,66957.52,31492987019
2026-02-20,66958.58,68269.03,66452.48,68005.42,47507867304
2026-02-21,68000.25,68657.7,67533.07,68003.77,18357635642
2026-02-22,67998.83,68235.23,67185.6,67659.39,17893536012
