id,divisi,masa_kerja_tahun,gaji_juta,lembur_jam,pendidikan
K-001,Marketing,9,11.6,14,S1
K-002,Keuangan,12,14.6,7,S2
K-003,SDM,5,8.1,2,S1
K-004,Marketing,3,7.8,29,SMA
K-005,Keuangan,18,16.2,21,S1
K-006,SDM,1,6.3,23,S1
K-007,Keuangan,7,12.5,16,S2
K-008,Keuangan,18,17.9,15,S2
K-009,Teknologi,4,10.6,19,S1
K-010,SDM,3,8.9,10,S2
K-011,Operasional,4,7.6,17,SMA
K-012,Operasional,16,13.9,10,S1
K-013,SDM,17,15.7,18,S2
K-014,Operasional,4,8.1,3,SMA
K-015,Keuangan,17,15.8,19,S1
K-016,Marketing,19,16.8,20,S2
K-017,SDM,15,13.2,15,S1
K-018,Keuangan,18,17.0,13,S2
K-019,Keuangan,3,9.7,9,S2
K-020,Teknologi,2,9.2,8,S1
K-021,SDM,11,11.0,7,S1
K-022,SDM,0,7.9,7,S2
K-023,Teknologi,20,16.5,16,S1
K-024,SDM,19,15.6,22,S1
K-025,Operasional,4,8.4,20,S1
K-026,Marketing,15,12.7,0,SMA
K-027,Keuangan,6,11.4,7,S1
K-028,Operasional,15,14.0,11,S1
K-029,Marketing,19,16.3,26,S2
K-030,Teknologi,13,14.0,22,S1
K-031,SDM,0,7.3,19,S1
K-032,SDM,2,7.1,15,S1
K-033,Keuangan,13,13.6,21,S1
K-034,Teknologi,5,11.1,15,S1
K-035,Keuangan,15,15.5,0,S2
K-036,Keuangan,2,8.3,30,S1
K-037,Marketing,17,14.3,6,S1
K-038,SDM,11,12.1,10,S1
K-039,Operasional,19,16.0,29,S1
K-040,SDM,10,10.7,2,S1
K-041,Teknologi,2,9.2,23,SMA
K-042,Operasional,17,13.8,20,S1
K-043,SDM,18,14.9,17,S1
K-044,Marketing,6,9.6,15,S1
K-045,Keuangan,7,9.4,10,SMA
K-046,Teknologi,9,11.9,1,S1
K-047,Keuangan,13,13.4,0,S1
K-048,SDM,4,9.1,18,S1
K-049,Marketing,10,12.1,2,S2
K-050,SDM,17,13.0,5,SMA
K-051,Teknologi,7,12.3,18,S1
K-052,Teknologi,9,12.0,0,SMA
K-053,Keuangan,10,12.0,5,S1
K-054,SDM,10,11.4,22,SMA
K-055,Teknologi,12,13.9,20,S1
K-056,SDM,15,12.7,12,S1
K-057,Marketing,15,13.4,14,S1
K-058,Operasional,16,13.6,20,S1
K-059,Teknologi,1,10.5,15,S2
K-060,Marketing,17,13.6,11,SMA
K-061,Operasional,18,14.9,12,S1
K-062,Teknologi,2,10.1,12,S1
K-063,Teknologi,10,12.9,2,S1
K-064,Marketing,12,11.5,7,S1
K-065,Operasional,9,10.4,22,S1
K-066,Marketing,5,9.8,8,S1
K-067,Marketing,1,8.6,4,S2
K-068,Keuangan,9,12.0,21,S1
K-069,Teknologi,9,11.4,3,S1
K-070,Teknologi,10,13.3,6,S1
