id,tanggal,kota,kategori_usaha,nominal_juta,metode,lunas
T-000001,2026-01-24,Jakarta,Kerajinan,0.9,Tunai,Lunas
T-000002,2026-04-21,Bandung,Jasa,0.8,Tunai,Lunas
T-000003,2026-05-28,Denpasar,Pertanian,8.49,QRIS,Belum
T-000004,2026-01-14,Bandung,Pertanian,1.86,Transfer,Lunas
T-000005,2026-04-10,Palembang,Retail,1.69,QRIS,Lunas
T-000006,2025-06-04,Semarang,Kerajinan,1.3,QRIS,Lunas
T-000007,2025-08-04,Surabaya,Jasa,1.91,Tunai,Lunas
T-000008,2025-09-11,Palembang,Pertanian,8.21,QRIS,Lunas
T-000009,2025-06-19,Palembang,Retail,11.02,Transfer,Tempo
T-000010,2025-10-28,Semarang,Retail,6.18,QRIS,Lunas
T-000011,2026-03-26,Denpasar,Retail,1.75,QRIS,Lunas
T-000012,2025-11-25,Balikpapan,Kuliner,0.39,QRIS,Lunas
T-000013,2026-07-28,Yogyakarta,Kuliner,2.25,Transfer,Belum
T-000014,2026-05-02,Makassar,Kuliner,5.91,Transfer,Lunas
T-000015,2026-05-07,Bandung,Jasa,2.91,Tunai,Lunas
T-000016,2025-06-20,Yogyakarta,Retail,3.62,QRIS,Lunas
T-000017,2025-08-28,Jakarta,Kuliner,1.56,Transfer,Lunas
T-000018,2025-10-24,Palembang,Kerajinan,3.24,QRIS,Lunas
T-000019,2026-03-04,Yogyakarta,Kerajinan,1.37,QRIS,Lunas
T-000020,2025-12-05,Denpasar,Kerajinan,9.95,Transfer,Lunas
T-000021,2025-07-18,Jakarta,Pertanian,0.82,QRIS,Lunas
T-000022,2026-04-21,Palembang,Pertanian,4.61,Transfer,Lunas
T-000023,2025-09-18,Yogyakarta,Pertanian,4.37,QRIS,Lunas
T-000024,2026-08-16,Balikpapan,Kerajinan,0.89,Tunai,Lunas
T-000025,2026-01-24,Balikpapan,Pertanian,1.8,Tunai,Lunas
T-000026,2026-02-12,Semarang,Kerajinan,0.8,Transfer,Tempo
T-000027,2025-06-16,Yogyakarta,Kerajinan,1.84,QRIS,Lunas
T-000028,2026-08-26,Bandung,Kuliner,1.94,Tunai,Lunas
T-000029,2026-02-13,Makassar,Kuliner,1.1,QRIS,Lunas
T-000030,2026-02-28,Bandung,Jasa,2.56,Transfer,Lunas
T-000031,2026-05-01,Balikpapan,Retail,14.53,Tunai,Lunas
T-000032,2026-05-26,Balikpapan,Pertanian,18.5,QRIS,Lunas
T-000033,2026-03-19,Yogyakarta,Kuliner,4.11,QRIS,Lunas
