date,open,high,low,close,volume
2025-09-11,550.00,560.00,535.00,535.00,2896600
2025-09-12,540.00,545.00,535.00,545.00,2857900
2025-09-15,545.00,555.00,540.00,550.00,2702100
2025-09-16,550.00,550.00,540.00,540.00,2352000
2025-09-17,545.00,545.00,530.00,540.00,3105500
2025-09-18,535.00,585.00,535.00,555.00,4904900
2025-09-19,550.00,690.00,530.00,530.00,16862900
2025-09-22,540.00,550.00,530.00,545.00,5744700
2025-09-23,545.00,555.00,530.00,535.00,8637000
2025-09-24,535.00,555.00,535.00,545.00,3760800
2025-09-25,550.00,555.00,535.00,545.00,5486200
2025-09-26,545.00,555.00,535.00,550.00,4713400
2025-09-29,545.00,555.00,540.00,550.00,6079400
2025-09-30,555.00,565.00,540.00,540.00,6584700
2025-10-01,545.00,550.00,540.00,545.00,4927800
2025-10-02,570.00,670.00,535.00,565.00,20585200
2025-10-03,555.00,560.00,525.00,545.00,3091200
2025-10-06,545.00,550.00,530.00,540.00,1431900
2025-10-07,540.00,545.00,535.00,535.00,2485700
2025-10-08,545.00,555.00,540.00,545.00,2195200
2025-10-09,545.00,555.00,540.00,555.00,2447200
2025-10-10,550.00,550.00,545.00,545.00,1656800
2025-10-13,540.00,575.00,540.00,545.00,2555100
2025-10-14,570.00,570.00,545.00,545.00,1511800
2025-10-15,555.00,565.00,545.00,555.00,2127200
2025-10-16,545.00,565.00,540.00,555.00,752400
2025-10-17,560.00,590.00,540.00,575.00,29577600
2025-10-20,575.00,600.00,550.00,560.00,3182400
2025-10-21,580.00,590.00,550.00,570.00,3189400
2025-10-22,575.00,595.00,555.00,570.00,3964900
2025-10-23,570.00,585.00,565.00,575.00,592800
2025-10-24,560.00,565.00,555.00,560.00,1323400
2025-10-27,565.00,565.00,540.00,540.00,2825400
2025-10-28,540.00,560.00,540.00,555.00,947300
2025-10-29,600.00,600.00,555.00,575.00,5919800
2025-10-30,585.00,585.00,560.00,560.00,864100
2025-10-31,565.00,580.00,550.00,555.00,473200
2025-11-03,565.00,570.00,540.00,545.00,26532100
2025-11-04,550.00,565.00,550.00,555.00,10990600
2025-11-05,565.00,565.00,545.00,565.00,12696100
2025-11-06,560.00,585.00,550.00,570.00,2083600
2025-11-07,570.00,625.00,555.00,600.00,6538100
2025-11-10,600.00,650.00,580.00,650.00,4259800
2025-11-11,650.00,770.00,625.00,700.00,32974000
2025-11-12,705.00,705.00,670.00,685.00,7465900
2025-11-13,685.00,705.00,675.00,695.00,7546500
2025-11-14,695.00,700.00,655.00,660.00,5496300
2025-11-17,660.00,695.00,605.00,625.00,3844900
2025-11-18,625.00,630.00,585.00,620.00,4509800
2025-11-19,615.00,620.00,590.00,605.00,2132500
2025-11-20,605.00,650.00,600.00,630.00,2052100
2025-11-21,630.00,630.00,600.00,600.00,1909900
2025-11-24,600.00,620.00,590.00,600.00,1140700
2025-11-25,600.00,650.00,590.00,605.00,2522500
2025-11-26,630.00,630.00,605.00,630.00,3775000
2025-11-27,635.00,660.00,600.00,605.00,2928400
2025-11-28,620.00,620.00,580.00,595.00,4284100
2025-12-01,610.00,615.00,595.00,610.00,1995700
2025-12-02,610.00,650.00,605.00,630.00,6582100
2025-12-03,630.00,635.00,600.00,610.00,3088000
2025-12-04,605.00,620.00,600.00,620.00,1913400
2025-12-05,610.00,630.00,605.00,615.00,2455500
2025-12-08,630.00,695.00,610.00,685.00,10396900
2025-12-09,690.00,710.00,660.00,695.00,9300000
2025-12-10,695.00,790.00,695.00,730.00,44968100
2025-12-11,730.00,745.00,710.00,720.00,16750500
2025-12-12,720.00,795.00,720.00,780.00,20154900
2025-12-15,780.00,870.00,730.00,870.00,23113000
2025-12-16,925.00,1085.00,920.00,1085.00,37865800
2025-12-17,1040.00,1180.00,1020.00,1165.00,25143600
2025-12-18,1165.00,1165.00,1165.00,1165.00,0
2025-12-19,1200.00,1250.00,1080.00,1190.00,16354000
2025-12-22,1190.00,1240.00,1120.00,1170.00,7433700
2025-12-23,1195.00,1205.00,1130.00,1150.00,5078600
2025-12-24,1190.00,1395.00,1050.00,1285.00,19466200
2025-12-29,1305.00,1470.00,1225.00,1290.00,19204600
2025-12-30,1315.00,1315.00,1230.00,1250.00,5288000
2026-01-02,1255.00,1345.00,1230.00,1310.00,5555000
2026-01-05,1310.00,1310.00,1310.00,1310.00,0
2026-01-06,1310.00,1310.00,1310.00,1310.00,0
2026-01-07,1310.00,1310.00,1310.00,1310.00,0
2026-01-08,1310.00,1310.00,1310.00,1310.00,0
2026-01-09,1310.00,1310.00,1310.00,1310.00,0
2026-01-12,1310.00,1310.00,1310.00,1310.00,0
2026-01-13,1440.00,1440.00,1180.00,1180.00,16266400
2026-01-14,1150.00,1150.00,1065.00,1065.00,10928800
2026-01-15,1100.00,1100.00,980.00,980.00,10984500
2026-01-19,1020.00,1075.00,1020.00,1075.00,11813000
2026-01-20,1070.00,1070.00,1010.00,1010.00,4336900
2026-01-21,1000.00,1000.00,910.00,910.00,5816700
2026-01-22,880.00,950.00,880.00,905.00,4980800
2026-01-23,940.00,945.00,800.00,880.00,10091400
2026-01-26,890.00,975.00,815.00,820.00,19739300
2026-01-27,820.00,960.00,805.00,920.00,16760600
2026-01-28,800.00,840.00,785.00,785.00,21331800
2026-01-29,675.00,820.00,675.00,795.00,25400300
2026-01-30,850.00,865.00,745.00,765.00,10313600
2026-02-02,790.00,790.00,655.00,655.00,7726300
2026-02-03,655.00,785.00,655.00,765.00,7931000
2026-02-04,775.00,785.00,685.00,740.00,6581900
2026-02-05,740.00,790.00,715.00,745.00,4931100
2026-02-06,720.00,725.00,675.00,695.00,4057000
2026-02-09,700.00,720.00,660.00,715.00,2162200
2026-02-10,720.00,755.00,705.00,735.00,2425600
2026-02-11,740.00,880.00,730.00,840.00,10886100
2026-02-12,850.00,870.00,800.00,840.00,6743800
2026-02-13,840.00,950.00,840.00,900.00,14777800
2026-02-18,930.00,950.00,880.00,905.00,6296700
2026-02-19,905.00,965.00,860.00,955.00,9081600
2026-02-20,945.00,1030.00,940.00,970.00,10539000
2026-02-23,980.00,1055.00,980.00,1000.00,6248900
2026-02-24,1000.00,1010.00,890.00,890.00,7303900
2026-02-25,910.00,935.00,895.00,915.00,2549700
2026-02-26,915.00,920.00,850.00,865.00,3541900
2026-02-27,860.00,920.00,850.00,880.00,3256200
2026-03-02,835.00,890.00,795.00,835.00,3136600
2026-03-03,830.00,900.00,830.00,850.00,2143200
2026-03-04,850.00,890.00,805.00,830.00,4944700
