date,open,high,low,close,volume
2025-09-11,1425.00,1445.00,1405.00,1420.00,58880600
2025-09-12,1435.00,1470.00,1420.00,1430.00,73018400
2025-09-15,1435.00,1505.00,1430.00,1505.00,85823000
2025-09-16,1510.00,1520.00,1455.00,1470.00,59121600
2025-09-17,1480.00,1530.00,1465.00,1505.00,106948700
2025-09-18,1520.00,1600.00,1505.00,1580.00,238714800
2025-09-19,1590.00,1600.00,1550.00,1590.00,138605600
2025-09-22,1590.00,1680.00,1570.00,1640.00,355262300
2025-09-23,1640.00,1650.00,1600.00,1615.00,140460900
2025-09-24,1615.00,1640.00,1570.00,1595.00,156902000
2025-09-25,1590.00,1625.00,1550.00,1590.00,112980500
2025-09-26,1615.00,1630.00,1590.00,1600.00,71543700
2025-09-29,1600.00,1670.00,1590.00,1610.00,191796400
2025-09-30,1630.00,1645.00,1605.00,1620.00,95295500
2025-10-01,1650.00,1650.00,1610.00,1610.00,86910200
2025-10-02,1630.00,1630.00,1605.00,1610.00,48573900
2025-10-03,1610.00,1615.00,1580.00,1600.00,74499500
2025-10-06,1610.00,1780.00,1605.00,1780.00,584895800
2025-10-07,1815.00,2220.00,1815.00,2220.00,1130135300
2025-10-08,2240.00,2400.00,2000.00,2240.00,729186600
2025-10-09,2250.00,2430.00,2100.00,2230.00,398889800
2025-10-10,2290.00,2500.00,2270.00,2430.00,440645500
2025-10-13,2380.00,2890.00,2360.00,2770.00,575603100
2025-10-14,2820.00,2830.00,2360.00,2410.00,650898000
2025-10-15,2410.00,2500.00,2240.00,2480.00,320074100
2025-10-16,2500.00,2560.00,2380.00,2380.00,179989700
2025-10-17,2390.00,2400.00,2100.00,2150.00,289808000
2025-10-20,2180.00,2370.00,2090.00,2310.00,219683500
2025-10-21,2300.00,2420.00,2250.00,2270.00,184007800
2025-10-22,2270.00,2310.00,2170.00,2240.00,94311900
2025-10-23,2260.00,2300.00,2190.00,2200.00,65830700
2025-10-24,2200.00,2280.00,2160.00,2190.00,52938400
2025-10-27,2190.00,2230.00,1870.00,2030.00,309639300
2025-10-28,2050.00,2070.00,1910.00,2000.00,94497700
2025-10-29,2010.00,2060.00,1965.00,2010.00,80839500
2025-10-30,2010.00,2030.00,1965.00,2000.00,52525200
2025-10-31,2010.00,2070.00,1980.00,2010.00,70827100
2025-11-03,1995.00,2120.00,1990.00,2090.00,139239600
2025-11-04,2100.00,2160.00,2000.00,2050.00,142416900
2025-11-05,2000.00,2090.00,1985.00,2080.00,65119400
2025-11-06,2130.00,2160.00,2080.00,2120.00,100801500
2025-11-07,2150.00,2300.00,2140.00,2290.00,233503600
2025-11-10,2350.00,2350.00,2250.00,2280.00,182257700
2025-11-11,2280.00,2290.00,2180.00,2200.00,110626300
