date,open,high,low,close,volume
2025-09-11,7781.17,7819.10,7742.60,7747.90,289797900
2025-09-12,7819.00,7854.81,7790.79,7854.06,289619100
2025-09-15,7891.26,7937.12,7889.19,7937.12,345056100
2025-09-16,7979.32,7985.58,7899.67,7957.70,401395800
2025-09-17,7964.42,8025.18,7940.51,8025.18,323654400
2025-09-18,8065.74,8068.01,7993.52,8008.43,378167700
2025-09-19,7996.20,8051.12,7983.36,8051.12,423577900
2025-09-22,8082.26,8087.93,8005.35,8040.04,345468800
2025-09-23,8066.29,8125.20,8039.95,8125.20,518663700
2025-09-24,8161.28,8169.02,8077.84,8126.56,454412900
2025-09-25,8130.02,8146.09,8022.98,8040.67,483927800
2025-09-26,8051.76,8099.33,8035.00,8099.33,351966900
2025-09-29,8139.58,8157.33,8100.02,8123.25,439450000
2025-09-30,8137.63,8150.34,8042.82,8061.06,461651600
2025-10-01,8069.94,8093.69,8034.25,8043.82,536747800
2025-10-02,8070.42,8109.44,8059.05,8071.08,402266500
2025-10-03,8099.65,8118.30,8076.60,8118.30,428024700
2025-10-06,8155.37,8176.31,8104.55,8139.89,429540400
2025-10-07,8182.66,8217.05,8153.71,8169.28,426851900
2025-10-08,8201.14,8224.64,8044.93,8166.03,355267800
2025-10-09,8187.70,8272.63,8159.94,8250.94,347199100
2025-10-10,8259.08,8270.33,8194.05,8257.86,366345900
2025-10-13,8169.65,8288.28,8133.63,8227.20,366939200
2025-10-14,8269.48,8284.91,7974.03,8066.52,440487100
2025-10-15,8107.30,8132.52,7936.37,8051.17,329138800
2025-10-16,8064.68,8148.04,8030.78,8124.76,246641300
2025-10-17,8132.75,8140.60,7854.31,7915.66,353739000
2025-10-20,7988.45,8117.27,7937.38,8088.98,307599100
2025-10-21,8165.69,8238.08,8161.19,8238.08,281761500
2025-10-22,8235.70,8261.84,8141.99,8152.55,275367500
2025-10-23,8179.88,8292.89,8179.61,8274.35,281648700
2025-10-24,8294.89,8351.06,8271.72,8271.72,238196400
2025-10-27,8322.22,8354.67,7959.17,8117.15,359000200
2025-10-28,8144.42,8151.33,8039.85,8092.63,282866700
2025-10-29,8107.38,8169.14,8042.63,8166.22,248336300
2025-10-30,8176.36,8231.88,8145.60,8184.06,326703000
2025-10-31,8202.52,8215.55,8144.08,8163.88,245393300
2025-11-03,8208.03,8282.16,8201.36,8275.08,338112200
2025-11-04,8275.95,8317.08,8225.91,8241.91,254611100
2025-11-05,8213.60,8318.53,8181.90,8318.53,333837700
2025-11-06,8354.68,8362.92,8289.89,8337.06,229181000
2025-11-07,8346.58,8398.76,8332.60,8394.59,227520700
2025-11-10,8443.32,8478.15,8391.24,8391.24,415934000
2025-11-11,8437.96,8443.69,8338.40,8366.51,677885600
2025-11-12,8392.28,8428.95,8377.50,8388.57,491096300
2025-11-13,8412.83,8418.16,8354.84,8372.00,534184900
2025-11-14,8378.13,8417.13,8360.94,8370.44,422843300
2025-11-17,8397.84,8452.33,8392.00,8416.88,382110500
2025-11-18,8427.40,8442.87,8341.90,8361.93,374837900
2025-11-19,8384.36,8426.63,8375.58,8406.58,394548300
2025-11-20,8449.54,8491.43,8419.92,8419.92,319147400
2025-11-21,8403.90,8432.60,8361.27,8414.35,288992600
2025-11-24,8458.29,8570.25,8429.46,8570.25,471629100
2025-11-25,8570.85,8574.38,8487.22,8521.88,414092000
2025-11-26,8533.89,8602.13,8503.15,8602.13,498634000
2025-11-27,8611.33,8622.27,8521.50,8545.87,463624300
2025-11-28,8555.66,8572.36,8495.21,8508.71,386357400
2025-12-01,8541.54,8553.62,8493.25,8548.79,433587600
2025-12-02,8577.61,8625.64,8564.70,8617.04,405114200
2025-12-03,8655.02,8669.19,8591.81,8611.79,432093300
2025-12-04,8646.65,8650.30,8606.90,8640.20,447262700
2025-12-05,8658.89,8689.10,8617.04,8632.76,421538600
2025-12-08,8676.73,8720.09,8642.06,8710.70,525913600
2025-12-09,8743.21,8749.26,8626.85,8657.18,498676700
2025-12-10,8713.71,8720.88,8668.61,8700.92,623753400
2025-12-11,8764.09,8776.97,8560.11,8620.48,667238000
2025-12-12,8651.77,8680.04,8585.42,8660.50,457344900
2025-12-15,8705.24,8720.68,8622.99,8649.66,553538600
2025-12-16,8696.70,8700.86,8611.35,8686.47,431043000
2025-12-17,8708.33,8729.47,8660.75,8677.34,341969700
2025-12-18,8705.14,8730.71,8618.20,8618.20,328562900
2025-12-19,8657.24,8671.77,8562.89,8609.55,307160800
2025-12-22,8629.25,8648.79,8609.39,8645.84,374939200
2025-12-23,8656.65,8667.73,8567.00,8584.78,329812800
2025-12-24,8597.39,8611.33,8525.10,8537.91,280698800
2025-12-29,8545.72,8652.18,8545.72,8644.26,334277800
2025-12-30,8627.40,8663.67,8584.87,8646.94,308173000
2026-01-02,8676.74,8748.13,8664.97,8748.13,471863900
2026-01-05,8778.73,8859.19,8732.32,8859.19,665735100
2026-01-06,8890.72,8940.11,8839.01,8933.61,630432800
2026-01-07,8959.09,8970.87,8916.03,8944.81,655409500
2026-01-08,8946.70,9002.92,8918.41,8925.47,489316100
2026-01-09,8969.15,8981.02,8908.17,8936.75,499545200
2026-01-12,8991.76,9000.97,8715.41,8884.72,697907000
2026-01-13,8931.24,8956.73,8841.02,8948.30,538438100
2026-01-14,9007.05,9049.30,8979.60,9032.58,580700100
2026-01-15,9072.30,9100.83,9041.00,9075.41,446899000
2026-01-19,9098.70,9133.87,9026.00,9133.87,541550600
2026-01-20,9156.19,9174.47,9120.15,9134.70,606446200
2026-01-21,9094.43,9105.23,8977.68,9010.33,553244200
2026-01-22,9052.17,9109.71,8992.13,8992.18,661020800
2026-01-23,9031.49,9039.67,8837.83,8951.01,587299800
2026-01-26,8967.73,9058.05,8923.53,8975.33,491763600
2026-01-27,8974.57,8980.23,8873.48,8980.23,536008400
2026-01-28,8393.51,8596.17,8187.73,8320.56,557055000
2026-01-29,8027.83,8296.94,7481.99,8232.20,906233100
2026-01-30,8308.72,8408.30,8167.16,8329.61,478640200
2026-02-02,8306.16,8313.06,7820.23,7922.73,444961400
2026-02-03,7888.77,8122.60,7712.35,8122.60,545340400
2026-02-04,8121.03,8194.68,8050.40,8146.72,404556000
2026-02-05,8154.60,8214.46,8102.79,8103.88,323626200
2026-02-06,7945.04,8025.14,7861.69,7935.26,312234100
2026-02-09,7970.02,8031.87,7863.01,8031.87,310222600
2026-02-10,8031.58,8140.86,8011.13,8131.74,374472200
2026-02-11,8152.79,8290.97,8118.16,8290.97,545693700
2026-02-12,8317.24,8334.02,8220.15,8265.35,379401500
2026-02-13,8240.01,8251.99,8170.59,8212.27,434442400
2026-02-18,8235.81,8310.23,8227.45,8310.23,459026600
2026-02-19,8357.45,8376.20,8251.81,8274.08,435377400
2026-02-20,8300.22,8328.42,8236.75,8271.77,400251500
2026-02-23,8334.54,8397.07,8327.57,8396.08,443116900
2026-02-24,8428.05,8437.09,8259.48,8280.83,509728100
2026-02-25,8318.14,8373.48,8259.75,8322.23,441816300
2026-02-26,8351.36,8358.96,8139.82,8235.26,450264700
2026-02-27,8211.30,8246.95,8093.75,8235.49,441200100
2026-03-02,8092.90,8133.69,8016.83,8016.83,527702300
2026-03-03,8059.87,8098.39,7932.52,7939.77,396162400
2026-03-04,7896.38,7897.81,7486.32,7577.06,485472100
2026-03-05,7695.35,7765.61,7678.53,7710.54,303915000
2026-03-06,7699.47,7700.32,7500.08,7585.69,291110400
2026-03-09,7374.31,7403.73,7156.68,7337.37,406185700
2026-03-10,7443.05,7499.82,7372.82,7440.91,309617900
2026-03-11,7484.77,7527.32,7380.81,7389.40,253162500
2026-03-12,7398.85,7436.50,7323.74,7362.12,234355700
