date,open,high,low,close,volume
2025-09-11,70.00,76.00,69.00,72.00,90202800
2025-09-12,72.00,76.00,71.00,74.00,121292100
2025-09-15,74.00,78.00,74.00,75.00,118418900
2025-09-16,75.00,76.00,69.00,72.00,136852700
2025-09-17,72.00,81.00,71.00,75.00,409721200
2025-09-18,76.00,78.00,72.00,74.00,193971600
2025-09-19,74.00,74.00,71.00,71.00,38613600
2025-09-22,71.00,72.00,68.00,69.00,77928900
2025-09-23,70.00,72.00,69.00,71.00,42720900
2025-09-24,72.00,73.00,69.00,69.00,33260400
2025-09-25,70.00,71.00,68.00,68.00,36447900
2025-09-26,69.00,70.00,68.00,69.00,27395800
2025-09-29,69.00,91.00,68.00,88.00,1828877000
2025-09-30,89.00,93.00,81.00,85.00,1319778600
2025-10-01,84.00,86.00,80.00,82.00,185742600
2025-10-02,82.00,86.00,81.00,82.00,157107400
2025-10-03,82.00,83.00,77.00,78.00,115245900
2025-10-06,78.00,87.00,75.00,81.00,329384400
2025-10-07,83.00,86.00,78.00,79.00,318734700
2025-10-08,79.00,79.00,76.00,78.00,120714100
2025-10-09,78.00,80.00,72.00,74.00,95419100
2025-10-10,74.00,79.00,74.00,76.00,52835400
2025-10-13,74.00,78.00,73.00,73.00,111280800
2025-10-14,73.00,76.00,69.00,70.00,145418600
2025-10-15,70.00,71.00,66.00,67.00,71530200
2025-10-16,68.00,71.00,67.00,69.00,71622200
2025-10-17,69.00,69.00,60.00,60.00,128732400
2025-10-20,61.00,65.00,61.00,63.00,57566700
2025-10-21,63.00,66.00,62.00,64.00,39289300
2025-10-22,64.00,66.00,63.00,65.00,28324500
2025-10-23,65.00,66.00,64.00,66.00,23102300
2025-10-24,67.00,69.00,64.00,64.00,72197600
2025-10-27,64.00,65.00,60.00,63.00,43451100
2025-10-28,63.00,65.00,62.00,62.00,30330100
2025-10-29,63.00,65.00,62.00,65.00,18340300
2025-10-30,65.00,67.00,63.00,63.00,42212000
2025-10-31,63.00,64.00,61.00,62.00,32137400
2025-11-03,63.00,63.00,61.00,63.00,24958900
2025-11-04,63.00,63.00,61.00,61.00,26179200
2025-11-05,61.00,62.00,60.00,60.00,29625000
2025-11-06,61.00,62.00,60.00,60.00,59377700
2025-11-07,60.00,61.00,59.00,59.00,27312000
2025-11-10,59.00,62.00,58.00,62.00,56288600
2025-11-11,62.00,66.00,61.00,63.00,118236700
2025-11-12,65.00,68.00,63.00,66.00,479030600
2025-11-13,66.00,66.00,63.00,63.00,117566800
