date,open,high,low,close,volume
2025-09-11,3180.00,3190.00,3070.00,3080.00,71919900
2025-09-12,3090.00,3110.00,3050.00,3100.00,61521400
2025-09-15,3150.00,3260.00,3130.00,3260.00,115361300
2025-09-16,3300.00,3300.00,3260.00,3300.00,80642900
2025-09-17,3300.00,3340.00,3210.00,3340.00,73539700
2025-09-18,3400.00,3400.00,3230.00,3250.00,99501600
2025-09-19,3210.00,3300.00,3160.00,3230.00,113834400
2025-09-22,3300.00,3300.00,3190.00,3220.00,53704700
2025-09-23,3240.00,3260.00,3130.00,3190.00,40100300
2025-09-24,3190.00,3190.00,3150.00,3160.00,37086500
2025-09-25,3160.00,3200.00,3110.00,3120.00,37627500
2025-09-26,3100.00,3160.00,3090.00,3110.00,66789300
2025-09-29,3110.00,3130.00,3050.00,3080.00,85911300
2025-09-30,3090.00,3140.00,3060.00,3060.00,117025800
2025-10-01,3060.00,3100.00,3060.00,3060.00,59779700
2025-10-02,3070.00,3200.00,3060.00,3130.00,113431700
2025-10-03,3110.00,3130.00,3050.00,3070.00,59116700
2025-10-06,3080.00,3090.00,2960.00,3010.00,59707600
2025-10-07,3030.00,3050.00,3000.00,3010.00,30353000
2025-10-08,3030.00,3040.00,2940.00,2990.00,66090700
2025-10-09,2950.00,3020.00,2950.00,3010.00,54769300
2025-10-10,3030.00,3080.00,3000.00,3040.00,62254500
2025-10-13,3020.00,3070.00,2980.00,3020.00,46978500
2025-10-14,3050.00,3070.00,2960.00,2960.00,38518800
2025-10-15,3000.00,3090.00,2950.00,3080.00,67503700
2025-10-16,2970.00,3020.00,2900.00,2950.00,103687000
2025-10-17,2950.00,2960.00,2850.00,2880.00,82482200
2025-10-20,2930.00,2970.00,2900.00,2940.00,96029300
2025-10-21,2970.00,3290.00,2970.00,3280.00,223104600
2025-10-22,3220.00,3220.00,3120.00,3150.00,128796800
2025-10-23,3180.00,3400.00,3170.00,3360.00,218967200
2025-10-24,3370.00,3440.00,3290.00,3290.00,115104000
2025-10-27,3320.00,3360.00,3280.00,3330.00,105683900
2025-10-28,3330.00,3480.00,3270.00,3400.00,143082100
2025-10-29,3390.00,3390.00,3270.00,3290.00,93073800
2025-10-30,3290.00,3310.00,3200.00,3250.00,83523100
2025-10-31,3200.00,3250.00,3150.00,3210.00,126790400
2025-11-03,3210.00,3380.00,3210.00,3350.00,107151300
2025-11-04,3360.00,3590.00,3360.00,3500.00,227450800
2025-11-05,3600.00,3630.00,3510.00,3540.00,182624300
2025-11-06,3540.00,3550.00,3470.00,3480.00,71766000
2025-11-07,3460.00,3490.00,3420.00,3470.00,58917900
2025-11-10,3490.00,3550.00,3440.00,3440.00,88941900
2025-11-11,3500.00,3530.00,3470.00,3520.00,63130300
2025-11-12,3540.00,3590.00,3510.00,3560.00,61339600
2025-11-13,3570.00,3570.00,3480.00,3500.00,57467900
2025-11-14,3530.00,3560.00,3510.00,3550.00,55079600
2025-11-17,3570.00,3630.00,3560.00,3610.00,76833800
2025-11-18,3610.00,3630.00,3540.00,3620.00,97747000
2025-11-19,3620.00,3690.00,3620.00,3650.00,109911100
2025-11-20,3650.00,3660.00,3620.00,3640.00,52200700
2025-11-21,3590.00,3610.00,3460.00,3500.00,93181600
2025-11-24,3560.00,3700.00,3540.00,3700.00,241304000
2025-11-25,3690.00,3690.00,3560.00,3650.00,84816600
2025-11-26,3600.00,3720.00,3600.00,3720.00,111114600
2025-11-27,3700.00,3700.00,3560.00,3570.00,48436500
2025-11-28,3600.00,3630.00,3500.00,3510.00,70943000
2025-12-01,3530.00,3650.00,3520.00,3650.00,89045500
2025-12-02,3660.00,3670.00,3560.00,3560.00,62155900
2025-12-03,3590.00,3650.00,3580.00,3580.00,60429900
2025-12-04,3660.00,3660.00,3580.00,3630.00,38947500
2025-12-05,3630.00,3700.00,3610.00,3700.00,50641400
2025-12-08,3700.00,3700.00,3600.00,3630.00,64911000
2025-12-09,3650.00,3650.00,3520.00,3570.00,94381800
2025-12-10,3620.00,3700.00,3590.00,3640.00,68644900
2025-12-11,3670.00,3690.00,3500.00,3570.00,84823100
2025-12-12,3630.00,3630.00,3500.00,3550.00,67076200
2025-12-15,3550.00,3560.00,3460.00,3470.00,121707400
2025-12-16,3490.00,3550.00,3470.00,3520.00,120576700
2025-12-17,3540.00,3590.00,3490.00,3500.00,118452300
2025-12-18,3540.00,3580.00,3460.00,3460.00,111042200
2025-12-19,3520.00,3520.00,3390.00,3410.00,236770700
2025-12-22,3440.00,3490.00,3420.00,3470.00,113720300
2025-12-23,3470.00,3470.00,3420.00,3470.00,39083700
2025-12-24,3480.00,3500.00,3440.00,3460.00,30919800
2025-12-29,3480.00,3530.00,3460.00,3490.00,53079900
2025-12-30,3490.00,3510.00,3480.00,3480.00,48019100
2026-01-02,3510.00,3510.00,3450.00,3470.00,34812500
2026-01-05,3490.00,3590.00,3480.00,3580.00,77224000
2026-01-06,3600.00,3600.00,3490.00,3520.00,77477100
2026-01-07,3540.00,3550.00,3500.00,3540.00,60466200
2026-01-08,3540.00,3580.00,3520.00,3530.00,61219400
2026-01-09,3550.00,3560.00,3450.00,3450.00,82708700
2026-01-12,3470.00,3530.00,3460.00,3520.00,89165400
2026-01-13,3600.00,3660.00,3550.00,3620.00,129812000
2026-01-14,3690.00,3700.00,3610.00,3650.00,98179400
2026-01-15,3650.00,3680.00,3610.00,3660.00,83981800
2026-01-19,3590.00,3630.00,3490.00,3620.00,147127900
2026-01-20,3550.00,3680.00,3550.00,3600.00,89987800
2026-01-21,3670.00,3700.00,3570.00,3600.00,104120400
2026-01-22,3670.00,3790.00,3660.00,3740.00,149259700
2026-01-23,3790.00,3800.00,3730.00,3770.00,109079700
2026-01-26,3780.00,3850.00,3750.00,3850.00,91258600
2026-01-27,3850.00,3990.00,3730.00,3940.00,161704800
2026-01-28,3800.00,3800.00,3390.00,3470.00,439277400
2026-01-29,3420.00,3500.00,3100.00,3450.00,582049700
2026-01-30,3550.00,3740.00,3540.00,3600.00,332372800
2026-02-02,3670.00,3700.00,3430.00,3500.00,157041400
2026-02-03,3540.00,3550.00,3420.00,3450.00,155611200
2026-02-04,3420.00,3440.00,3260.00,3330.00,215692700
2026-02-05,3350.00,3360.00,3260.00,3290.00,148908600
2026-02-06,3310.00,3390.00,3270.00,3380.00,137552600
2026-02-09,3430.00,3430.00,3340.00,3350.00,109053400
2026-02-10,3380.00,3430.00,3360.00,3400.00,129254100
2026-02-11,3430.00,3530.00,3420.00,3530.00,151785400
2026-02-12,3500.00,3560.00,3470.00,3560.00,114656400
2026-02-13,3540.00,3550.00,3440.00,3450.00,102244000
2026-02-18,3470.00,3510.00,3460.00,3490.00,82797000
2026-02-19,3500.00,3500.00,3460.00,3480.00,70690600
2026-02-20,3490.00,3510.00,3430.00,3480.00,75231500
2026-02-23,3480.00,3550.00,3480.00,3550.00,59621900
2026-02-24,3600.00,3600.00,3510.00,3580.00,119024300
2026-02-25,3580.00,3660.00,3580.00,3600.00,66237300
2026-02-26,3560.00,3650.00,3510.00,3650.00,111136200
2026-02-27,3630.00,3630.00,3530.00,3540.00,140862100
2026-03-02,3440.00,3490.00,3410.00,3450.00,80022100
2026-03-03,3520.00,3530.00,3440.00,3450.00,125403800
2026-03-04,3430.00,3450.00,3110.00,3200.00,206478300
2026-03-05,3300.00,3350.00,3210.00,3260.00,137853600
2026-03-06,3270.00,3290.00,3180.00,3190.00,84932600
2026-03-09,3160.00,3160.00,3000.00,3100.00,126776600
2026-03-10,3120.00,3150.00,2930.00,2960.00,288339600
2026-03-11,3000.00,3020.00,2930.00,3000.00,209073500
2026-03-12,3020.00,3060.00,2980.00,3020.00,100856000
2026-03-13,3030.00,3050.00,2920.00,2970.00,102546800
2026-03-16,2970.00,2980.00,2830.00,2960.00,95426400
2026-03-17,3050.00,3050.00,2960.00,3050.00,164842700
2026-03-25,3140.00,3300.00,3130.00,3300.00,228354400
2026-03-26,3240.00,3260.00,3130.00,3170.00,130477500
2026-03-27,3150.00,3160.00,3050.00,3050.00,72337500
2026-03-30,3050.00,3110.00,3030.00,3040.00,115529200
2026-03-31,3130.00,3130.00,3040.00,3060.00,95463800
2026-04-01,3150.00,3150.00,3100.00,3150.00,68303100
2026-04-02,3150.00,3160.00,3080.00,3130.00,56283200
2026-04-06,3200.00,3200.00,3100.00,3160.00,37192400
2026-04-07,3150.00,3160.00,3060.00,3100.00,49528200
2026-04-08,3150.00,3180.00,3110.00,3160.00,78411200
2026-04-09,3170.00,3190.00,3120.00,3190.00,58857300
2026-04-10,3190.00,3220.00,3170.00,3210.00,70335700
2026-04-13,3130.00,3200.00,3130.00,3190.00,77410000
2026-04-14,3190.00,3200.00,3110.00,3120.00,92852900
2026-04-15,3120.00,3150.00,3060.00,3090.00,89181500
2026-04-16,3100.00,3150.00,3100.00,3120.00,57013000
2026-04-17,3120.00,3150.00,3080.00,3100.00,96349500
2026-04-20,3130.00,3160.00,3050.00,3100.00,142308900
2026-04-21,3050.00,3070.00,2980.00,3010.00,137586500
2026-04-22,3010.00,3030.00,2990.00,3000.00,57088500
2026-04-23,3010.00,3020.00,2880.00,2880.00,164145000
2026-04-24,2880.00,2940.00,2750.00,2810.00,254588000
2026-04-27,2850.00,2850.00,2810.00,2830.00,77838700
2026-04-28,2790.00,2820.00,2750.00,2820.00,146311100
2026-04-29,2820.00,2880.00,2800.00,2870.00,144598700
2026-04-30,2860.00,2870.00,2810.00,2810.00,134260800
2026-05-04,2840.00,2890.00,2840.00,2890.00,81120300
2026-05-05,2910.00,2940.00,2870.00,2880.00,71127200
2026-05-06,2890.00,2910.00,2870.00,2900.00,82205900
2026-05-07,2950.00,2980.00,2920.00,2930.00,102205600
2026-05-08,2930.00,3000.00,2900.00,2960.00,102107300
2026-05-11,2990.00,3010.00,2920.00,2960.00,58491000
2026-05-12,3000.00,3000.00,2860.00,2950.00,91619700
2026-05-13,2950.00,2970.00,2920.00,2960.00,62623700
2026-05-14,2960.00,2960.00,2960.00,2960.00,0
2026-05-15,2960.00,2960.00,2960.00,2960.00,0
2026-05-18,2910.00,3080.00,2860.00,3080.00,148994300
2026-05-19,3080.00,3130.00,3030.00,3080.00,147808100
2026-05-20,3130.00,3190.00,3100.00,3100.00,191400600
2026-05-21,3100.00,3120.00,2950.00,3000.00,141907000
2026-05-22,3000.00,3010.00,2850.00,2920.00,138085300
2026-05-25,2880.00,2960.00,2870.00,2930.00,88999600
2026-05-26,2950.00,3100.00,2940.00,3090.00,136083800
2026-05-27,3090.00,3090.00,3090.00,3090.00,0
2026-05-28,3090.00,3090.00,3090.00,3090.00,0
2026-05-29,2900.00,3170.00,2900.00,3030.00,835364400
2026-06-02,2990.00,3020.00,2910.00,2950.00,242446000
2026-06-03,2900.00,2950.00,2850.00,2850.00,168085400
2026-06-04,2900.00,2950.00,2680.00,2900.00,197151900
2026-06-05,2900.00,2930.00,2760.00,2760.00,105040300
2026-06-08,2620.00,2650.00,2350.00,2350.00,331947700
2026-06-09,2510.00,2620.00,2510.00,2620.00,371055600
2026-06-10,2500.00,2810.00,2500.00,2810.00,391732600
2026-06-11,2870.00,2970.00,2810.00,2870.00,274793100
2026-06-12,2910.00,2980.00,2860.00,2860.00,181531900
2026-06-15,2900.00,2970.00,2890.00,2930.00,156789000
2026-06-17,2950.00,3030.00,2940.00,2960.00,200799700
2026-06-18,2800.00,2800.00,2670.00,2780.00,210813900
2026-06-19,2700.00,2710.00,2580.00,2580.00,374544500
2026-06-22,2580.00,2590.00,2500.00,2510.00,194270900
2026-06-23,2500.00,2610.00,2500.00,2540.00,173184800
2026-06-24,2570.00,2590.00,2480.00,2500.00,173348900
2026-06-25,2530.00,2540.00,2500.00,2500.00,94937900
2026-06-26,2420.00,2480.00,2370.00,2480.00,220918000
2026-06-29,2470.00,2470.00,2410.00,2410.00,124858100
2026-06-30,2390.00,2400.00,2350.00,2350.00,318664200
2026-07-01,2380.00,2450.00,2350.00,2440.00,111997100
2026-07-02,2470.00,2490.00,2420.00,2450.00,112046100
2026-07-03,2480.00,2540.00,2470.00,2520.00,83587600
2026-07-06,2520.00,2530.00,2470.00,2480.00,48614200
2026-07-07,2460.00,2480.00,2420.00,2480.00,119404100
2026-07-08,2480.00,2540.00,2470.00,2510.00,98228500
2026-07-09,2500.00,2510.00,2450.00,2510.00,68742100
2026-07-10,2480.00,2500.00,2440.00,2480.00,129033800
2026-07-13,2480.00,2520.00,2460.00,2510.00,80358400
2026-07-14,2500.00,2600.00,2490.00,2560.00,118565500
2026-07-15,2560.00,2570.00,2490.00,2520.00,142706600
2026-07-16,2520.00,2560.00,2510.00,2530.00,56858100
2026-07-17,2550.00,2670.00,2540.00,2660.00,143963900
2026-07-20,2670.00,2750.00,2660.00,2710.00,146905500
2026-07-21,2770.00,2770.00,2700.00,2750.00,140279600
2026-07-22,2730.00,2730.00,2670.00,2700.00,122114100
2026-07-23,2710.00,2710.00,2650.00,2650.00,91296700
2026-07-24,2600.00,2630.00,2580.00,2630.00,92442500
2026-07-27,2670.00,2670.00,2560.00,2590.00,60467000
2026-07-28,2580.00,2620.00,2560.00,2560.00,69694800
2026-07-29,2560.00,2610.00,2540.00,2560.00,76414900
2026-07-30,2600.00,2670.00,2590.00,2670.00,103302600
2026-07-31,2670.00,2680.00,2600.00,2630.00,91987400
2026-08-03,2600.00,2740.00,2600.00,2740.00,112278700
2026-08-04,2740.00,2790.00,2710.00,2790.00,90753600
2026-08-05,2780.00,2780.00,2700.00,2710.00,109494500
2026-08-06,2710.00,2720.00,2650.00,2650.00,138223900
2026-08-07,2650.00,2720.00,2650.00,2710.00,66412400
2026-08-10,2720.00,2730.00,2620.00,2620.00,93974000
2026-08-11,2640.00,2650.00,2570.00,2610.00,84124100
2026-08-12,2610.00,2620.00,2570.00,2590.00,120373100
2026-08-13,2600.00,2610.00,2570.00,2590.00,76115000
2026-08-14,2600.00,2630.00,2590.00,2620.00,80799200
2026-08-18,2640.00,2640.00,2600.00,2600.00,80089000
2026-08-19,2600.00,2610.00,2580.00,2600.00,45580300
2026-08-20,2610.00,2620.00,2590.00,2610.00,86747700
2026-08-21,2610.00,2640.00,2610.00,2610.00,72276500
2026-08-24,2620.00,2640.00,2600.00,2620.00,46321100
2026-08-25,2620.00,2620.00,2620.00,2620.00,0
2026-08-26,2630.00,2630.00,2590.00,2600.00,82579200
2026-08-27,2590.00,2610.00,2550.00,2610.00,115845900
2026-08-28,2620.00,2620.00,2570.00,2570.00,78958600
2026-08-31,2570.00,2600.00,2560.00,2600.00,204591800
2026-09-01,2600.00,2630.00,2590.00,2610.00,82430900
2026-09-02,2600.00,2610.00,2560.00,2590.00,105899600
2026-09-03,2600.00,2610.00,2580.00,2600.00,76989700
2026-09-04,2610.00,2630.00,2590.00,2610.00,84953700
2026-09-07,2610.00,2620.00,2600.00,2610.00,42030200
2026-09-08,2620.00,2670.00,2600.00,2650.00,173160300
2026-09-09,2650.00,2680.00,2630.00,2660.00,119056300
2026-09-10,2680.00,2680.00,2620.00,2630.00,87447500
2026-09-11,2620.00,2630.00,2590.00,2600.00,88455300
