judul,tahun,genre,rating,jumlah_penonton_juta
Peta Terakhir,2005,Laga,5.2,7.5
Menara Tanpa Nama,2005,Komedi,9.2,4.7
Menara di Kota Tua,2005,Drama,7.5,2.6
Suara di Pasar Subuh,2005,Laga,6.3,10.0
Rahasia Tanpa Nama,2005,Animasi,6.4,3.8
Ombak Sang Juara,2005,Komedi,5.1,7.4
Hujan dari Kampung Halaman,2005,Petualangan,7.2,8.5
Pulang di Pulau Terpencil,2005,Misteri,7.6,8.2
Cahaya di Danau Toba,2005,Laga,8.1,4.8
Perjalanan Terakhir,2005,Petualangan,8.8,1.6
Pulang di Laut Selatan,2005,Laga,9.6,4.4
Bintang di Pulau Terpencil,2005,Petualangan,8.1,1.0
Kisah Pertama,2005,Misteri,6.1,10.5
Bayangan Pertama,2005,Animasi,6.3,2.6
Cahaya di Jakarta,2006,Drama,9.0,3.2
Badai Terakhir,2006,Animasi,6.6,1.1
Fajar di Kota Tua,2006,Horor,8.2,10.9
Perjalanan di Stasiun Tua,2006,Misteri,7.3,11.6
Rahasia di Pasar Subuh,2006,Petualangan,5.3,1.1
Jejak Terakhir,2006,Petualangan,9.9,1.9
Fajar di Pulau Terpencil,2006,Animasi,5.3,3.1
Badai dari Kampung Halaman,2006,Animasi,5.7,9.6
Bintang dari Kampung Halaman,2006,Drama,9.6,7.0
Perjalanan di Laut Selatan,2006,Drama,6.4,7.8
Perjalanan dari Kampung Halaman,2006,Drama,7.8,0.7
Cahaya Sang Juara,2006,Misteri,8.2,3.5
Api di Kota Tua,2006,Misteri,8.0,9.8
Rahasia di Menara Air,2006,Misteri,9.1,8.6
Rahasia di Jakarta,2006,Komedi,7.6,6.2
Peta Tanpa Nama,2006,Drama,7.0,3.9
Ombak Terakhir,2007,Horor,6.1,1.6
Petualangan Tanpa Nama,2007,Animasi,5.0,11.6
Perjalanan di Ujung Tahun,2007,Komedi,6.9,1.4
Badai di Kota Tua,2007,Laga,8.8,6.7
Jejak di Danau Toba,2007,Drama,7.2,11.7
Peta Pertama,2007,Animasi,5.4,11.4
Misteri di Pasar Subuh,2007,Horor,9.8,3.0
Jejak dari Kampung Halaman,2007,Laga,6.8,2.7
Rahasia di Gunung Merapi,2008,Petualangan,7.4,1.4
Ombak di Gunung Merapi,2008,Komedi,5.9,11.6
Legenda Sang Juara,2008,Drama,9.3,8.0
Senja di Pulau Terpencil,2008,Petualangan,9.6,5.9
Fajar Sang Juara,2008,Komedi,7.7,2.8
Kisah Terakhir,2008,Misteri,7.8,10.3
Rahasia dari Kampung Halaman,2008,Drama,5.9,4.2
Senja di Gunung Merapi,2008,Animasi,6.7,3.3
Peta di Gunung Merapi,2008,Misteri,5.4,9.8
Perjalanan di Jakarta,2008,Petualangan,8.8,11.4
Jejak di Ujung Tahun,2008,Animasi,8.1,11.3
Pulang di Kota Tua,2009,Animasi,9.9,2.2
Badai di Jakarta,2009,Horor,5.2,5.9
Api di Bawah Tanah,2009,Petualangan,9.3,5.2
Fajar di Bali,2009,Laga,8.2,9.5
Badai di Pulau Terpencil,2009,Laga,6.3,2.8
Fajar di Bawah Tanah,2009,Animasi,5.5,2.7
Suara di Bali,2009,Petualangan,7.7,5.9
Pulang di Danau Toba,2009,Komedi,6.7,6.9
Misteri dari Kampung Halaman,2009,Komedi,7.0,3.6
Pulang Sang Juara,2009,Laga,7.6,5.6
Kisah di Danau Toba,2009,Animasi,9.6,3.1
Cahaya Tanpa Nama,2009,Animasi,5.7,0.7
Ombak di Jakarta,2010,Petualangan,8.7,7.5
Badai di Bawah Tanah,2010,Laga,6.2,5.8
Bayangan di Pulau Terpencil,2010,Laga,8.5,4.6
Perjalanan Sang Juara,2010,Komedi,7.9,1.8
Jejak Tanpa Nama,2010,Drama,8.4,4.4
Hujan Sang Juara,2010,Petualangan,7.6,1.2
Jejak di Hari Kemerdekaan,2010,Horor,9.0,10.9
Petualangan di Jakarta,2010,Drama,5.7,2.4
Bintang di Kota Tua,2010,Horor,8.8,7.0
Suara di Jakarta,2010,Petualangan,7.5,1.1
Fajar di Jakarta,2010,Horor,6.1,7.9
Cahaya dari Kampung Halaman,2010,Misteri,5.8,7.1
Misteri di Ujung Tahun,2010,Misteri,5.7,1.3
Bintang Tanpa Nama,2010,Animasi,8.6,9.4
Suara di Hari Kemerdekaan,2010,Laga,5.3,7.1
Rahasia di Bawah Tanah,2011,Laga,9.1,6.2
Petualangan Pertama,2011,Drama,9.3,2.8
Legenda di Stasiun Tua,2011,Drama,5.2,11.3
Senja di Bawah Tanah,2011,Misteri,8.8,6.6
Rahasia di Hari Kemerdekaan,2011,Animasi,6.3,3.3
Peta dari Kampung Halaman,2011,Komedi,5.6,11.9
Suara Pertama,2011,Petualangan,5.2,5.0
Bintang di Jakarta,2011,Animasi,7.8,11.2
Pulang di Ujung Tahun,2011,Horor,6.1,6.7
Suara Tanpa Nama,2011,Komedi,8.4,7.5
Api Tanpa Nama,2011,Misteri,6.9,2.7
Perjalanan di Hari Kemerdekaan,2011,Drama,5.3,0.8
Ombak di Kota Tua,2011,Petualangan,7.6,8.5
Hujan Tanpa Nama,2011,Laga,5.3,2.3
Pulang Pertama,2012,Misteri,7.6,2.5
Rahasia di Kota Tua,2012,Animasi,9.0,2.8
Menara Pertama,2012,Misteri,5.4,9.4
Pulang di Hari Kemerdekaan,2012,Misteri,5.1,2.8
Suara Terakhir,2012,Animasi,9.3,4.3
Jejak di Pulau Terpencil,2012,Petualangan,7.1,9.6
Badai di Pasar Subuh,2012,Drama,5.2,4.0
Api di Bali,2012,Misteri,7.6,11.4
Ombak Tanpa Nama,2012,Drama,8.1,9.0
Pulang di Jakarta,2012,Komedi,7.3,6.8
Perjalanan di Bawah Tanah,2012,Horor,8.4,9.1
Petualangan di Pulau Terpencil,2012,Komedi,5.4,0.9
Api di Danau Toba,2012,Animasi,9.2,3.1
Kisah di Pasar Subuh,2012,Laga,9.5,2.7
Jejak di Menara Air,2012,Animasi,7.3,6.8
Ombak di Hari Kemerdekaan,2012,Komedi,8.4,11.0
Suara di Kota Tua,2012,Misteri,9.6,5.4
Pulang dari Kampung Halaman,2012,Misteri,8.1,10.9
Fajar di Laut Selatan,2012,Komedi,9.4,11.3
Legenda di Pulau Terpencil,2012,Drama,7.1,8.4
Badai di Gunung Merapi,2012,Animasi,5.7,4.7
Fajar di Ujung Tahun,2012,Drama,8.6,4.2
Perjalanan di Menara Air,2012,Misteri,8.6,5.7
Peta di Pasar Subuh,2012,Animasi,8.3,1.1
Ombak di Pasar Subuh,2013,Animasi,8.4,4.8
Cahaya di Pulau Terpencil,2013,Animasi,7.6,6.4
Legenda di Danau Toba,2013,Petualangan,5.9,2.4
Rahasia Terakhir,2013,Drama,6.9,11.3
Kisah dari Kampung Halaman,2013,Horor,5.2,0.8
Bintang Terakhir,2013,Petualangan,9.7,7.4
Peta di Pulau Terpencil,2013,Petualangan,7.2,1.0
Menara Sang Juara,2013,Animasi,7.1,8.0
Peta di Hari Kemerdekaan,2013,Komedi,9.5,7.1
Menara di Pasar Subuh,2013,Laga,9.7,8.3
Rahasia di Laut Selatan,2013,Drama,8.2,9.6
Senja Tanpa Nama,2013,Drama,6.0,10.6
Hujan di Stasiun Tua,2013,Misteri,6.3,7.9
Bintang Pertama,2013,Animasi,7.1,6.3
Senja Terakhir,2013,Horor,8.3,3.9
Perjalanan Tanpa Nama,2013,Misteri,6.1,1.3
Kisah di Gunung Merapi,2013,Petualangan,8.1,6.5
Jejak di Bawah Tanah,2013,Animasi,9.5,5.6
Rahasia di Pulau Terpencil,2014,Drama,7.8,6.9
Petualangan di Bali,2014,Komedi,5.3,4.3
Bayangan di Menara Air,2014,Komedi,6.3,3.5
Hujan di Jakarta,2014,Horor,8.6,0.2
Badai di Laut Selatan,2014,Laga,7.3,3.2
Ombak di Menara Air,2014,Petualangan,7.7,7.5
Senja di Danau Toba,2014,Laga,8.4,1.0
Api Terakhir,2014,Komedi,8.9,9.8
Misteri di Hari Kemerdekaan,2014,Horor,6.3,11.1
Kisah di Bawah Tanah,2014,Komedi,6.3,4.5
Bayangan Tanpa Nama,2014,Horor,5.8,5.7
Misteri di Bali,2014,Misteri,8.0,3.6
Legenda di Bali,2015,Animasi,7.5,0.6
Menara di Bali,2015,Horor,7.1,6.7
Suara di Pulau Terpencil,2015,Petualangan,9.5,8.4
Legenda di Menara Air,2015,Petualangan,8.6,10.3
Petualangan di Kota Tua,2015,Horor,9.8,1.1
Cahaya di Laut Selatan,2015,Misteri,6.5,2.6
Petualangan di Bawah Tanah,2015,Misteri,7.8,0.3
Kisah Tanpa Nama,2015,Laga,7.8,3.5
Cahaya Terakhir,2015,Horor,6.1,8.8
Kisah Sang Juara,2015,Laga,9.8,10.1
Suara di Menara Air,2015,Komedi,5.6,6.6
Jejak di Bali,2016,Drama,5.4,2.7
Menara di Menara Air,2016,Laga,6.5,11.9
Senja di Bali,2016,Misteri,8.3,1.1
Peta di Bawah Tanah,2016,Laga,5.7,5.6
Peta di Stasiun Tua,2016,Laga,6.4,10.6
Ombak di Stasiun Tua,2016,Misteri,9.3,2.5
Fajar di Gunung Merapi,2016,Komedi,9.1,1.5
Misteri di Danau Toba,2016,Komedi,7.1,1.7
Rahasia di Ujung Tahun,2016,Petualangan,9.3,1.4
Menara di Pulau Terpencil,2016,Laga,7.7,1.2
Legenda di Laut Selatan,2016,Petualangan,6.2,0.4
Jejak di Gunung Merapi,2016,Komedi,6.0,5.6
Jejak Pertama,2016,Drama,5.3,4.8
Perjalanan di Bali,2016,Komedi,6.0,6.1
Api di Laut Selatan,2016,Komedi,6.7,9.6
Cahaya di Bali,2016,Komedi,6.4,2.6
Hujan di Menara Air,2017,Misteri,5.7,10.7
Pulang Terakhir,2017,Animasi,7.6,2.6
Menara Terakhir,2017,Horor,5.6,2.8
Bintang di Bali,2017,Drama,7.4,11.7
Pulang Tanpa Nama,2017,Misteri,9.5,11.0
Badai di Danau Toba,2017,Horor,9.6,8.6
Menara dari Kampung Halaman,2017,Animasi,5.2,7.5
Senja di Kota Tua,2017,Horor,8.0,0.9
Ombak di Bali,2017,Drama,5.4,4.4
Bayangan di Bali,2017,Misteri,5.7,4.6
Peta di Ujung Tahun,2017,Misteri,5.0,10.1
Bayangan di Bawah Tanah,2017,Animasi,5.5,10.4
Misteri di Pulau Terpencil,2018,Laga,8.4,0.3
Cahaya di Hari Kemerdekaan,2018,Komedi,9.4,7.1
Peta di Danau Toba,2018,Drama,5.3,11.1
Cahaya di Ujung Tahun,2018,Animasi,8.4,6.0
Fajar Tanpa Nama,2018,Horor,9.6,10.7
Petualangan di Danau Toba,2018,Animasi,8.1,9.7
Fajar di Menara Air,2018,Laga,9.3,4.3
Kisah di Bali,2018,Misteri,5.8,3.8
Perjalanan di Danau Toba,2018,Animasi,9.5,5.0
Senja di Laut Selatan,2018,Misteri,5.0,10.7
Legenda Tanpa Nama,2018,Laga,9.3,7.0
Misteri Sang Juara,2018,Animasi,6.4,10.5
Legenda Pertama,2018,Horor,5.8,11.9
Senja dari Kampung Halaman,2018,Drama,5.3,4.2
Hujan di Laut Selatan,2019,Petualangan,7.9,6.0
Badai di Ujung Tahun,2019,Drama,5.7,9.7
Legenda di Jakarta,2019,Horor,9.6,6.6
Bayangan Terakhir,2019,Drama,5.6,11.7
Petualangan di Hari Kemerdekaan,2019,Horor,9.5,11.8
Pulang di Pasar Subuh,2019,Horor,9.6,2.4
Bintang di Stasiun Tua,2019,Misteri,9.4,1.9
Suara di Gunung Merapi,2019,Petualangan,7.9,11.8
Senja di Ujung Tahun,2019,Drama,6.8,0.8
Petualangan di Menara Air,2019,Drama,6.2,1.4
Petualangan di Gunung Merapi,2019,Komedi,5.7,9.2
Cahaya di Gunung Merapi,2019,Laga,5.0,4.8
Pulang di Menara Air,2020,Horor,8.2,8.9
Hujan di Ujung Tahun,2020,Animasi,6.1,6.9
Perjalanan di Pasar Subuh,2020,Laga,6.7,6.4
Hujan di Gunung Merapi,2020,Komedi,6.3,9.4
Petualangan di Pasar Subuh,2020,Laga,7.9,11.5
Senja di Jakarta,2020,Komedi,6.8,7.9
Kisah di Jakarta,2020,Laga,6.1,10.4
Bintang di Gunung Merapi,2020,Komedi,9.8,2.3
Kisah di Hari Kemerdekaan,2020,Misteri,6.9,7.0
