id_pengajuan,tanggal_pengajuan,kota,sektor,omzet_bulanan_juta,lama_usaha_bulan,jumlah_karyawan,pinjaman_diajukan_juta,riwayat_telat_12m,punya_npwp,skor_kredit,status
K-0001,2024-10-12,bandung,Retail,16.6,90.0,3.0,8.5,3.0,,425.0,Macet
K-0002,2025-01-14,MDN,PERTANIAN,17.9,30.0,3.0,11.0,3.0,Tidak,494.0,Lancar
K-0003,"Dec 03, 2024",Jakarta,kerajinan ,,158.0,2.0,37.8,,Ya,465.0,Lancar
K-0004,22/01/2026,Jakarta,Kerajinan,66.6,34.0,4.0,54.9,1.0,Y,578.0,Macet
K-0005,2024-12-29,Surabaya,JASA,15.1,39.0,6.0,8.2,4.0,1,483.0,Lancar
K-0006,2025-07-05, Jakarta ,kerajinan,9000.0,6.0,2.0,10.4,3.0,Tidak,511.0,Lancar
K-0007,27/09/2025,Jakarta,kerajinan ,9.3,66.0,2.0,8.6,3.0,Ya,456.0,Macet
K-0008,2024-11-01,Makassar,JASA,40.7,35.0,7.0,33.6,,Ya,523.0,Macet
K-0009,2024-06-29,BDG ,KULINER,42.5,28.0,1.0,33.5,2.0,1,577.0,Macet
K-0010,2025-01-21,BDG ,pertanian,65.7,165.0,5.0,31.8,4.0,ya,491.0,Macet
K-0011,"Jan 18, 2025",Medan,Fashion,29.0,178.0,4.0,13.0,3.0,Tidak,,Lancar
K-0012,"Oct 05, 2024",Bandung,Kerajinan,,42.0,1.0,27.9,4.0,y,523.0,Lancar
K-0013,02/12/2025,Jogja,kerajinan ,7.7,116.0,7.0,4.7,5.0,y,,Lancar
K-0014,"Jun 15, 2025",Jakarta,pertanian,14.8,134.0,7.0,5.4,3.0,Tidak,474.0,Lancar
K-0015,"Sep 29, 2024",makassar,Jasa,23.1,144.0,3.0,10.3,2.0,Ya,592.0,Lancar
K-0016,2025-12-23,surabaya,PERTANIAN,18.3,26.0,,13.9,1.0,Ya,489.0,Lancar
K-0017,2024-06-30,Jakarta,Jasa,16.8,175.0,3.0,10.8,3.0,ya,555.0,Lancar
K-0018,2026-05-10,SBY,Pertanian,-50.0,70.0,8.0,16.0,,N,,Lancar
K-0019,2026-02-16,Bandung,Jasa,7.4,104.0,8.0,7.4,,Ya,668.0,Lancar
K-0020,2024-12-17,SBY,Fashion,112.3,56.0,7.0,60.0,1.0,Ya,556.0,Lancar
K-0021,2024-08-24,surabaya,Jasa,15.0,169.0,6.0,15.4,1.0,Ya,553.0,Lancar
K-0022,2024-06-15,Medan,fashion ,16.6,63.0,2.0,11.0,,Ya,,Lancar
K-0023,"Jul 21, 2025",bandung,KULINER,,159.0,1.0,29.8,1.0,Ya,503.0,Lancar
K-0024,2025-02-02,Bandung,Jasa,13.0,123.0,2.0,9.7,,tidak,536.0,Macet
K-0025,2025-01-15,Medan,pertanian,40.7,78.0,,32.5,4.0,n,431.0,Macet
K-0026,"Mar 09, 2026",Jakarta,Retail,58.5,,7.0,17.0,3.0,tidak,455.0,Lancar
K-0027,2024-08-13,Bandung,JASA,,73.0,1.0,6.0,3.0,N,428.0,Lancar
K-0028,2025-04-18,makassar,Pertanian,17.4,69.0,3.0,11.5,0.0,Tidak,,Lancar
