id_pengajuan,tanggal_pengajuan,kota,sektor,omzet_bulanan_juta,lama_usaha_bulan,jumlah_karyawan,pinjaman_diajukan_juta,riwayat_telat_12m,punya_npwp,skor_kredit,status
K-0001,2024-10-12,Bandung,Retail,16.6,90.0,3.0,8.5,3.0,Tidak,425.0,Macet
K-0002,2025-01-14,Medan,Pertanian,17.9,30.0,3.0,11.0,3.0,Tidak,494.0,Lancar
K-0003,2024-12-03,Jakarta,Kerajinan,50.6,158.0,2.0,37.8,2.0,Ya,465.0,Lancar
K-0004,2026-01-22,Jakarta,Kerajinan,66.6,34.0,4.0,54.9,1.0,Ya,578.0,Macet
K-0005,2024-12-29,Surabaya,Jasa,15.1,39.0,6.0,8.2,4.0,Ya,483.0,Lancar
K-0006,2025-07-05,Jakarta,Kerajinan,23.4,6.0,2.0,10.4,3.0,Tidak,511.0,Lancar
K-0007,2025-09-27,Jakarta,Kerajinan,9.3,66.0,2.0,8.6,3.0,Ya,456.0,Macet
K-0008,2024-11-01,Makassar,Jasa,40.7,35.0,7.0,33.6,4.0,Ya,523.0,Macet
K-0009,2024-06-29,Bandung,Kuliner,42.5,28.0,1.0,33.5,2.0,Ya,577.0,Macet
K-0010,2025-01-21,Bandung,Pertanian,65.7,165.0,5.0,31.8,4.0,Ya,491.0,Macet
K-0011,2025-01-18,Medan,Fashion,29.0,178.0,4.0,13.0,3.0,Tidak,353.0,Lancar
K-0012,2024-10-05,Bandung,Kerajinan,79.3,42.0,1.0,27.9,4.0,Ya,523.0,Lancar
K-0013,2025-12-02,Yogyakarta,Kerajinan,7.7,116.0,7.0,4.7,5.0,Ya,488.0,Lancar
K-0014,2025-06-15,Jakarta,Pertanian,14.8,134.0,7.0,5.4,3.0,Tidak,474.0,Lancar
K-0015,2024-09-29,Makassar,Jasa,23.1,144.0,3.0,10.3,2.0,Ya,592.0,Lancar
K-0016,2025-12-23,Surabaya,Pertanian,18.3,26.0,2.0,13.9,1.0,Ya,489.0,Lancar
K-0017,2024-06-30,Jakarta,Jasa,16.8,175.0,3.0,10.8,3.0,Ya,555.0,Lancar
K-0018,2026-05-10,Surabaya,Pertanian,20.0,70.0,8.0,16.0,1.0,Tidak,560.0,Lancar
K-0019,2026-02-16,Bandung,Jasa,7.4,104.0,8.0,7.4,0.0,Ya,668.0,Lancar
K-0020,2024-12-17,Surabaya,Fashion,112.3,56.0,7.0,60.0,1.0,Ya,556.0,Lancar
K-0021,2024-08-24,Surabaya,Jasa,15.0,169.0,6.0,15.4,1.0,Ya,553.0,Lancar
K-0022,2024-06-15,Medan,Fashion,16.6,63.0,2.0,11.0,2.0,Ya,482.0,Lancar
K-0023,2025-07-21,Bandung,Kuliner,33.1,159.0,1.0,29.8,1.0,Ya,503.0,Lancar
K-0024,2025-02-02,Bandung,Jasa,13.0,123.0,2.0,9.7,2.0,Tidak,536.0,Macet
K-0025,2025-01-15,Medan,Pertanian,40.7,78.0,3.0,32.5,4.0,Tidak,431.0,Macet
K-0026,2026-03-09,Jakarta,Retail,58.5,73.0,7.0,17.0,3.0,Tidak,455.0,Lancar
K-0027,2024-08-13,Bandung,Jasa,15.4,73.0,1.0,6.0,3.0,Tidak,428.0,Lancar
K-0028,2025-04-18,Makassar,Pertanian,17.4,69.0,3.0,11.5,0.0,Tidak,577.0,Lancar
K-0029,2024-06-27,Jakarta,Fashion,11.6,28.0,3.0,3.9,2.0,Ya,552.0,Lancar
K-0030,2025-08-07,Surabaya,Jasa,14.5,86.0,8.0,12.7,3.0,Tidak,555.0,Lancar
K-0031,2025-11-18,Jakarta,Pertanian,11.5,148.0,3.0,4.6,3.0,Ya,547.0,Lancar
K-0032,2024-12-03,Medan,Kerajinan,43.6,44.0,3.0,30.0,0.0,Tidak,567.0,Lancar
K-0033,2025-08-20,Bandung,Retail,46.6,109.0,5.0,40.2,3.0,Tidak,551.0,Macet
K-0034,2025-06-23,Jakarta,Pertanian,43.5,21.0,4.0,36.1,2.0,Ya,592.0,Lancar
K-0035,2026-04-11,Surabaya,Jasa,21.6,99.0,1.0,8.8,4.0,Tidak,455.0,Macet
K-0036,2025-12-30,Makassar,Fashion,16.0,40.0,2.0,16.7,4.0,Ya,368.0,Lancar
K-0037,2025-11-15,Surabaya,Jasa,24.8,107.0,4.0,12.8,4.0,Ya,492.0,Lancar
K-0038,2025-04-24,Surabaya,Kerajinan,30.0,9.0,1.0,9.6,0.0,Ya,626.0,Lancar
K-0039,2025-05-24,Medan,Kuliner,12.0,167.0,4.0,3.7,2.0,Tidak,505.0,Lancar
K-0040,2025-03-02,Yogyakarta,Jasa,49.8,102.0,3.0,39.0,1.0,Ya,569.0,Macet
K-0041,2025-08-12,Surabaya,Fashion,30.2,175.0,5.0,13.7,0.0,Tidak,684.0,Lancar
K-0042,2024-12-06,Yogyakarta,Kerajinan,51.0,136.0,1.0,19.9,3.0,Ya,464.0,Lancar
K-0043,2025-05-19,Jakarta,Kerajinan,29.8,168.0,2.0,22.0,3.0,Ya,549.0,Lancar
K-0044,2025-02-25,Surabaya,Kerajinan,43.3,156.0,7.0,18.3,0.0,Tidak,600.0,Lancar
K-0045,2024-06-05,Medan,Jasa,38.1,132.0,3.0,14.4,3.0,Ya,518.0,Lancar
K-0046,2025-03-08,Yogyakarta,Jasa,20.8,79.0,2.0,19.7,0.0,Ya,693.0,Lancar
K-0047,2025-06-23,Makassar,Retail,22.7,101.0,6.0,17.5,3.0,Ya,480.0,Lancar
K-0048,2025-03-01,Jakarta,Retail,28.4,144.0,4.0,26.6,3.0,Ya,429.0,Lancar
K-0049,2025-07-29,Makassar,Kerajinan,25.7,136.0,4.0,9.8,2.0,Ya,495.0,Lancar
K-0050,2025-02-11,Medan,Retail,19.6,29.0,5.0,15.1,1.0,Ya,646.0,Lancar
K-0051,2026-03-05,Jakarta,Fashion,14.3,74.0,6.0,5.1,3.0,Ya,446.0,Lancar
K-0052,2026-05-29,Jakarta,Retail,39.6,113.0,4.0,13.6,2.0,Ya,590.0,Lancar
K-0053,2025-03-06,Jakarta,Retail,13.6,164.0,6.0,10.2,1.0,Ya,602.0,Lancar
K-0054,2025-01-11,Medan,Kuliner,23.6,36.0,2.0,20.7,3.0,Ya,587.0,Macet
K-0055,2025-06-22,Medan,Pertanian,38.2,50.0,6.0,10.4,1.0,Ya,580.0,Lancar
K-0056,2026-05-11,Makassar,Fashion,20.3,118.0,1.0,20.6,4.0,Ya,441.0,Macet
K-0057,2025-10-09,Jakarta,Fashion,28.5,173.0,5.0,23.0,2.0,Ya,558.0,Lancar
K-0058,2026-05-12,Jakarta,Kuliner,32.3,78.0,3.0,27.7,1.0,Ya,623.0,Lancar
K-0059,2025-09-22,Jakarta,Kerajinan,24.1,12.0,3.0,15.2,0.0,Ya,597.0,Lancar
K-0060,2024-07-09,Jakarta,Kuliner,50.5,92.0,4.0,49.6,2.0,Tidak,512.0,Macet
K-0061,2024-08-07,Medan,Kuliner,32.9,38.0,7.0,21.5,3.0,Tidak,550.0,Macet
K-0062,2025-10-30,Surabaya,Fashion,48.3,115.0,7.0,45.9,1.0,Tidak,738.0,Lancar
K-0063,2025-01-04,Makassar,Retail,34.7,15.0,6.0,24.8,1.0,Ya,523.0,Lancar
