id_pengajuan,tanggal_pengajuan,kota,sektor,omzet_bulanan_juta,lama_usaha_bulan,jumlah_karyawan,pinjaman_diajukan_juta,riwayat_telat_12m,punya_npwp,skor_kredit
K-0001,2024-10-13,Bandung,Kuliner,17.0,163.0,7.0,17.0,4.0,Ya,428.0
K-0002,2026-05-12,Yogyakarta,Fashion,28.2,50.0,3.0,11.5,3.0,Tidak,452.0
K-0003,2024-08-24,Jakarta,Pertanian,13.6,140.0,5.0,14.1,4.0,Ya,478.0
K-0004,2025-04-02,Bandung,Pertanian,11.3,34.0,7.0,11.5,2.0,Tidak,511.0
K-0005,2025-01-05,Medan,Retail,38.4,178.0,8.0,33.0,4.0,Ya,574.0
K-0006,2026-01-05,Makassar,Pertanian,20.9,94.0,3.0,7.8,4.0,Tidak,363.0
K-0007,2024-11-22,Makassar,Kuliner,52.1,141.0,3.0,53.9,3.0,Ya,491.0
K-0008,2025-12-01,Jakarta,Fashion,33.3,151.0,4.0,25.9,4.0,Ya,439.0
K-0009,2025-01-30,Medan,Retail,8.3,93.0,5.0,7.8,3.0,Ya,456.0
K-0010,2025-09-14,Surabaya,Jasa,21.5,86.0,5.0,20.7,3.0,Ya,529.0
K-0011,2026-03-20,Makassar,Pertanian,14.7,152.0,4.0,11.9,1.0,Tidak,506.0
K-0012,2025-07-06,Bandung,Kuliner,22.2,98.0,3.0,17.1,3.0,Tidak,450.0
K-0013,2025-03-30,Surabaya,Kuliner,28.5,36.0,5.0,15.0,0.0,Tidak,683.0
K-0014,2026-05-03,Medan,Kuliner,42.0,54.0,1.0,29.6,0.0,Ya,675.0
K-0015,2025-03-13,Medan,Kerajinan,11.7,89.0,7.0,3.6,1.0,Ya,652.0
K-0016,2026-05-24,Surabaya,Jasa,13.4,158.0,4.0,7.8,2.0,Tidak,582.0
K-0017,2025-10-23,Medan,Fashion,20.4,177.0,8.0,7.0,4.0,Ya,600.0
K-0018,2025-04-16,Jakarta,Kerajinan,13.8,16.0,7.0,13.6,1.0,Ya,704.0
K-0019,2024-08-01,Medan,Kuliner,15.4,133.0,2.0,10.2,4.0,Ya,426.0
K-0020,2025-10-27,Surabaya,Jasa,33.4,135.0,8.0,16.1,1.0,Ya,600.0
K-0021,2025-09-23,Jakarta,Pertanian,10.3,83.0,5.0,5.2,5.0,Tidak,419.0
K-0022,2025-08-05,Surabaya,Kerajinan,12.6,94.0,5.0,4.8,2.0,Tidak,601.0
K-0023,2025-07-06,Jakarta,Fashion,95.4,75.0,8.0,32.8,3.0,Ya,492.0
K-0024,2026-06-01,Jakarta,Fashion,9.6,139.0,4.0,3.5,1.0,Ya,586.0
K-0025,2024-10-04,Jakarta,Kerajinan,13.8,140.0,5.0,10.3,1.0,Tidak,684.0
K-0026,2025-11-28,Makassar,Pertanian,26.7,36.0,2.0,22.2,0.0,Ya,590.0
K-0027,2025-04-03,Makassar,Fashion,16.9,67.0,8.0,5.6,1.0,Tidak,530.0
K-0028,2025-11-06,Jakarta,Kuliner,32.2,33.0,5.0,10.7,0.0,Ya,639.0
K-0029,2026-05-09,Yogyakarta,Retail,24.1,125.0,8.0,25.3,4.0,Tidak,445.0
K-0030,2024-09-23,Jakarta,Pertanian,42.6,132.0,6.0,11.3,2.0,Ya,518.0
K-0031,2025-04-07,Jakarta,Pertanian,23.9,178.0,1.0,7.4,4.0,Ya,486.0
K-0032,2024-10-02,Jakarta,Fashion,48.9,135.0,3.0,16.0,1.0,Ya,580.0
K-0033,2025-11-30,Makassar,Kerajinan,26.2,30.0,7.0,7.4,1.0,Ya,644.0
K-0034,2025-08-16,Jakarta,Retail,23.7,54.0,3.0,13.5,4.0,Ya,432.0
K-0035,2024-12-18,Medan,Kuliner,21.2,39.0,3.0,8.1,2.0,Tidak,558.0
K-0036,2025-01-30,Jakarta,Kuliner,28.0,8.0,1.0,16.0,0.0,Tidak,637.0
K-0037,2025-03-28,Surabaya,Kerajinan,36.7,63.0,1.0,22.0,2.0,Ya,549.0
K-0038,2024-12-25,Yogyakarta,Retail,25.2,139.0,2.0,8.3,3.0,Ya,524.0
K-0039,2025-10-28,Surabaya,Kuliner,40.7,114.0,4.0,34.8,0.0,Ya,683.0
