id_pelanggan,umur,kota,paket,lama_berlangganan_bulan,tagihan_bulanan,churn
C-0001,53,Makassar,Hemat,16,56000,1
C-0002,27,Medan,Sultan,37,161000,0
C-0003,33,Makassar,Sultan+,51,263000,0
C-0004,25,Medan,Hemat,39,53000,0
C-0005,60,Medan,Sultan,60,145000,0
C-0006,38,Bandung,Sultan,46,146000,0
C-0007,23,Semarang,Data Only,14,98000,0
C-0008,33,Makassar,Data Only,53,96000,0
C-0009,65,Surabaya,Data Only,52,80000,0
C-0010,48,Bandung,Data Only,51,91000,0
C-0011,70,Semarang,Sultan,36,149000,0
C-0012,41,Jakarta,Data Only,32,82000,0
C-0013,27,Semarang,Sultan,37,165000,0
C-0014,37,Bandung,Hemat,46,63000,1
C-0015,18,Makassar,Data Only,17,86000,0
C-0016,21,Surabaya,Hemat,17,67000,0
C-0017,19,Medan,Data Only,33,85000,0
C-0018,21,Jakarta,Data Only,37,85000,0
C-0019,45,Semarang,Sultan+,27,249000,0
C-0020,19,Medan,Sultan,33,158000,0
C-0021,35,Medan,Sultan+,27,245000,0
C-0022,49,Semarang,Sultan+,5,251000,0
C-0023,48,Makassar,Data Only,58,90000,0
C-0024,69,Surabaya,Hemat,17,54000,1
C-0025,61,Bandung,Sultan,42,155000,0
C-0026,69,Surabaya,Sultan,30,153000,1
C-0027,52,Semarang,Data Only,22,89000,0
C-0028,69,Jakarta,Sultan,17,157000,0
C-0029,22,Surabaya,Data Only,2,100000,0
C-0030,67,Bandung,Sultan,39,145000,0
C-0031,50,Bandung,Hemat,20,55000,0
C-0032,64,Medan,Sultan+,21,248000,0
C-0033,62,Medan,Sultan,33,156000,0
C-0034,44,Jakarta,Sultan,36,150000,0
C-0035,67,Surabaya,Hemat,4,57000,0
C-0036,31,Medan,Sultan+,49,262000,0
C-0037,25,Medan,Hemat,30,59000,0
C-0038,59,Bandung,Sultan+,30,261000,0
C-0039,24,Jakarta,Data Only,1,83000,0
C-0040,38,Jakarta,Sultan+,24,263000,0
C-0041,22,Medan,Hemat,8,58000,0
C-0042,59,Surabaya,Sultan+,41,255000,1
C-0043,58,Jakarta,Data Only,29,100000,0
C-0044,24,Makassar,Hemat,5,53000,1
C-0045,30,Bandung,Data Only,44,99000,0
C-0046,56,Makassar,Hemat,6,58000,1
C-0047,68,Bandung,Sultan,28,164000,0
C-0048,65,Semarang,Data Only,51,91000,0
C-0049,39,Bandung,Data Only,29,92000,0
C-0050,27,Bandung,Sultan,47,154000,0
C-0051,41,Makassar,Sultan,44,156000,0
C-0052,56,Makassar,Sultan,3,156000,0
C-0053,43,Jakarta,Sultan+,41,249000,0
C-0054,57,Semarang,Sultan+,57,249000,0
C-0055,23,Semarang,Data Only,3,90000,0
C-0056,22,Semarang,Sultan+,9,254000,0
C-0057,49,Jakarta,Hemat,12,69000,0
C-0058,42,Jakarta,Data Only,23,86000,0
C-0059,21,Surabaya,Data Only,39,95000,0
C-0060,59,Bandung,Data Only,37,94000,0
C-0061,58,Surabaya,Hemat,21,62000,1
C-0062,68,Jakarta,Sultan,58,149000,0
C-0063,19,Surabaya,Hemat,55,66000,0
C-0064,54,Jakarta,Sultan+,29,245000,0
C-0065,22,Jakarta,Hemat,1,65000,1
C-0066,69,Bandung,Hemat,14,63000,0
C-0067,67,Bandung,Sultan+,33,262000,0
C-0068,39,Semarang,Sultan,16,155000,0
C-0069,64,Surabaya,Sultan+,35,264000,0
C-0070,47,Semarang,Sultan,58,145000,0
C-0071,41,Makassar,Data Only,43,81000,0
C-0072,17,Jakarta,Sultan,19,145000,0
C-0073,26,Makassar,Hemat,36,60000,0
C-0074,59,Semarang,Sultan,27,163000,0
C-0075,50,Medan,Sultan+,14,251000,0
C-0076,69,Semarang,Hemat,47,61000,0
C-0077,35,Surabaya,Data Only,43,99000,0
C-0078,53,Surabaya,Hemat,52,61000,0
C-0079,50,Bandung,Hemat,29,52000,0
C-0080,17,Semarang,Sultan,49,149000,1
C-0081,63,Bandung,Hemat,31,68000,0
C-0082,46,Makassar,Sultan,34,157000,0
C-0083,27,Jakarta,Hemat,39,59000,0
C-0084,68,Bandung,Sultan+,47,248000,1
C-0085,44,Semarang,Sultan+,58,246000,0
C-0086,39,Semarang,Sultan,36,158000,0
C-0087,36,Medan,Data Only,18,90000,1
C-0088,17,Bandung,Hemat,53,67000,0
C-0089,26,Makassar,Data Only,50,88000,0
C-0090,28,Bandung,Sultan,30,147000,0
C-0091,40,Semarang,Data Only,29,97000,0
C-0092,67,Surabaya,Data Only,44,96000,1
C-0093,31,Makassar,Data Only,18,100000,0
C-0094,62,Jakarta,Sultan+,23,260000,0
C-0095,67,Bandung,Hemat,34,58000,0
C-0096,19,Makassar,Sultan+,53,257000,0
C-0097,29,Bandung,Data Only,40,87000,0
C-0098,66,Makassar,Data Only,16,90000,0
C-0099,37,Bandung,Sultan+,44,250000,0
C-0100,26,Bandung,Sultan+,8,264000,1
C-0101,65,Medan,Data Only,31,85000,0
C-0102,44,Semarang,Data Only,21,85000,0
C-0103,67,Semarang,Sultan+,12,254000,1
C-0104,22,Bandung,Data Only,59,90000,1
C-0105,53,Bandung,Sultan,53,151000,0
C-0106,69,Medan,Sultan,41,160000,0
C-0107,17,Surabaya,Data Only,23,91000,0
C-0108,56,Medan,Sultan,36,147000,0
C-0109,40,Semarang,Sultan+,58,264000,0
C-0110,23,Surabaya,Data Only,59,87000,0
C-0111,39,Semarang,Sultan,25,152000,0
