date,ALII,BBRI,BRPT,CUAN,MPPA,TLKM
2025-09-11,535.0,4080.0,2250.0,1420.0,72.0,3080.0
2025-09-12,545.0,4180.0,2260.0,1430.0,74.0,3100.0
2025-09-15,550.0,4140.0,2340.0,1505.0,75.0,3260.0
2025-09-16,540.0,4130.0,2320.0,1470.0,72.0,3300.0
2025-09-17,540.0,4220.0,2480.0,1505.0,75.0,3340.0
2025-09-18,555.0,4250.0,2900.0,1580.0,74.0,3250.0
2025-09-19,530.0,4250.0,3000.0,1590.0,71.0,3230.0
2025-09-22,545.0,4160.0,3220.0,1640.0,69.0,3220.0
2025-09-23,535.0,4140.0,3370.0,1615.0,71.0,3190.0
2025-09-24,545.0,4170.0,3770.0,1595.0,69.0,3160.0
2025-09-25,545.0,4070.0,3510.0,1590.0,68.0,3120.0
2025-09-26,550.0,4040.0,3690.0,1600.0,69.0,3110.0
2025-09-29,550.0,3980.0,3760.0,1610.0,88.0,3080.0
2025-09-30,540.0,3900.0,3750.0,1620.0,85.0,3060.0
2025-10-01,545.0,3810.0,3790.0,1610.0,82.0,3060.0
2025-10-02,565.0,3710.0,3850.0,1610.0,82.0,3130.0
2025-10-03,545.0,3690.0,3850.0,1600.0,78.0,3070.0
2025-10-06,540.0,3660.0,4000.0,1780.0,81.0,3010.0
2025-10-07,535.0,3710.0,4140.0,2220.0,79.0,3010.0
2025-10-08,545.0,3720.0,4110.0,2240.0,78.0,2990.0
2025-10-09,555.0,3860.0,4120.0,2230.0,74.0,3010.0
2025-10-10,545.0,3730.0,4280.0,2430.0,76.0,3040.0
2025-10-13,545.0,3660.0,4210.0,2770.0,73.0,3020.0
2025-10-14,545.0,3550.0,3940.0,2410.0,70.0,2960.0
2025-10-15,555.0,3500.0,3890.0,2480.0,67.0,3080.0
2025-10-16,555.0,3530.0,3930.0,2380.0,69.0,2950.0
2025-10-17,575.0,3500.0,3650.0,2150.0,60.0,2880.0
2025-10-20,560.0,3680.0,3770.0,2310.0,63.0,2940.0
2025-10-21,570.0,3760.0,3790.0,2270.0,64.0,3280.0
2025-10-22,570.0,3700.0,3750.0,2240.0,65.0,3150.0
2025-10-23,575.0,3820.0,3740.0,2200.0,66.0,3360.0
2025-10-24,560.0,3850.0,3640.0,2190.0,64.0,3290.0
2025-10-27,540.0,3860.0,3300.0,2030.0,63.0,3330.0
2025-10-28,555.0,3850.0,3420.0,2000.0,62.0,3400.0
2025-10-29,575.0,3890.0,3560.0,2010.0,65.0,3290.0
2025-10-30,560.0,3910.0,3540.0,2000.0,63.0,3250.0
2025-10-31,555.0,3980.0,3450.0,2010.0,62.0,3210.0
2025-11-03,545.0,4040.0,3670.0,2090.0,63.0,3350.0
2025-11-04,555.0,3970.0,3500.0,2050.0,61.0,3500.0
2025-11-05,565.0,3980.0,3560.0,2080.0,60.0,3540.0
2025-11-06,570.0,4000.0,3570.0,2120.0,60.0,3480.0
2025-11-07,600.0,3980.0,3590.0,2290.0,59.0,3470.0
2025-11-10,650.0,3930.0,3590.0,2280.0,62.0,3440.0
2025-11-11,700.0,3890.0,3530.0,2200.0,63.0,3520.0
2025-11-12,685.0,3900.0,3780.0,2190.0,66.0,3560.0
2025-11-13,695.0,3870.0,3720.0,2180.0,63.0,3500.0
2025-11-14,660.0,3900.0,3780.0,2150.0,62.0,3550.0
2025-11-17,625.0,3940.0,3770.0,2200.0,63.0,3610.0
2025-11-18,620.0,3970.0,3580.0,2100.0,62.0,3620.0
2025-11-19,605.0,4000.0,3500.0,2160.0,61.0,3650.0
2025-11-20,630.0,3990.0,3470.0,2230.0,60.0,3640.0
2025-11-21,600.0,3960.0,3490.0,2260.0,60.0,3500.0
2025-11-24,600.0,3980.0,3500.0,2380.0,62.0,3700.0
2025-11-25,605.0,3830.0,3430.0,2350.0,62.0,3650.0
2025-11-26,630.0,3790.0,3510.0,2390.0,62.0,3720.0
2025-11-27,605.0,3740.0,3600.0,2580.0,61.0,3570.0
2025-11-28,595.0,3680.0,3580.0,2680.0,62.0,3510.0
2025-12-01,610.0,3670.0,3470.0,2670.0,62.0,3650.0
2025-12-02,630.0,3710.0,3500.0,2740.0,62.0,3560.0
2025-12-03,610.0,3660.0,3490.0,2640.0,63.0,3580.0
2025-12-04,620.0,3690.0,3500.0,2690.0,66.0,3630.0
2025-12-05,615.0,3650.0,3500.0,2690.0,64.0,3700.0
2025-12-08,685.0,3670.0,3400.0,2650.0,65.0,3630.0
2025-12-09,695.0,3680.0,3500.0,2610.0,64.0,3570.0
2025-12-10,730.0,3660.0,3720.0,2540.0,63.0,3640.0
2025-12-11,720.0,3620.0,3640.0,2530.0,62.0,3570.0
2025-12-12,780.0,3630.0,3710.0,2530.0,61.0,3550.0
2025-12-15,870.0,3780.0,3600.0,2350.0,62.0,3470.0
2025-12-16,1085.0,3690.0,3640.0,2420.0,61.0,3520.0
2025-12-17,1165.0,3750.0,3510.0,2330.0,61.0,3500.0
2025-12-18,1165.0,3780.0,3450.0,2230.0,61.0,3460.0
2025-12-19,1190.0,3770.0,3510.0,2240.0,60.0,3410.0
2025-12-22,1170.0,3760.0,3440.0,2250.0,59.0,3470.0
2025-12-23,1150.0,3770.0,3280.0,2260.0,59.0,3470.0
2025-12-24,1285.0,3770.0,3130.0,2220.0,58.0,3460.0
2025-12-29,1290.0,3780.0,3280.0,2380.0,59.0,3490.0
2025-12-30,1250.0,3660.0,3270.0,2340.0,59.0,3480.0
2026-01-02,1310.0,3640.0,3190.0,2290.0,61.0,3470.0
2026-01-05,1310.0,3630.0,3190.0,2240.0,62.0,3580.0
2026-01-06,1310.0,3680.0,3150.0,2200.0,63.0,3520.0
2026-01-07,1310.0,3700.0,3050.0,2080.0,62.0,3540.0
2026-01-08,1310.0,3710.0,3090.0,2050.0,62.0,3530.0
2026-01-09,1310.0,3680.0,3100.0,2010.0,63.0,3450.0
2026-01-12,1310.0,3700.0,2880.0,1915.0,62.0,3520.0
2026-01-13,1180.0,3720.0,2810.0,1930.0,62.0,3620.0
2026-01-14,1065.0,3720.0,2830.0,1910.0,62.0,3650.0
2026-01-15,980.0,3820.0,2830.0,1850.0,62.0,3660.0
2026-01-19,1075.0,3840.0,2950.0,2020.0,62.0,3620.0
2026-01-20,1010.0,3850.0,2900.0,1970.0,61.0,3600.0
2026-01-21,910.0,3820.0,2860.0,1895.0,58.0,3600.0
2026-01-22,905.0,3810.0,2750.0,1815.0,68.0,3740.0
2026-01-23,880.0,3850.0,2590.0,1735.0,61.0,3770.0
2026-01-26,820.0,3850.0,2580.0,1710.0,63.0,3850.0
2026-01-27,920.0,3820.0,2700.0,1780.0,56.0,3940.0
2026-01-28,785.0,3590.0,2300.0,1560.0,51.0,3470.0
2026-01-29,795.0,3780.0,2200.0,1850.0,52.0,3450.0
2026-01-30,765.0,3810.0,2160.0,1800.0,53.0,3600.0
2026-02-02,655.0,3830.0,1840.0,1530.0,51.0,3500.0
2026-02-03,765.0,3800.0,1980.0,1665.0,52.0,3450.0
2026-02-04,740.0,3870.0,2130.0,1715.0,51.0,3330.0
2026-02-05,745.0,3850.0,2100.0,1710.0,51.0,3290.0
2026-02-06,695.0,3780.0,1945.0,1630.0,51.0,3380.0
2026-02-09,715.0,3770.0,1995.0,1645.0,50.0,3350.0
2026-02-10,735.0,3780.0,2030.0,1640.0,51.0,3400.0
2026-02-11,840.0,3800.0,2280.0,1925.0,52.0,3530.0
2026-02-12,840.0,3790.0,2200.0,1825.0,53.0,3560.0
2026-02-13,900.0,3780.0,2150.0,1810.0,52.0,3450.0
2026-02-18,905.0,3830.0,2150.0,1795.0,58.0,3490.0
2026-02-19,955.0,3770.0,2100.0,1755.0,53.0,3480.0
2026-02-20,970.0,3840.0,2020.0,1735.0,58.0,3480.0
2026-02-23,1000.0,3900.0,2140.0,1800.0,58.0,3550.0
2026-02-24,890.0,3870.0,2030.0,1720.0,55.0,3580.0
2026-02-25,915.0,3970.0,2020.0,1680.0,54.0,3600.0
2026-02-26,865.0,3950.0,1950.0,1650.0,50.0,3650.0
2026-02-27,880.0,3910.0,1990.0,1600.0,54.0,3540.0
2026-03-02,835.0,3820.0,1810.0,1470.0,52.0,3450.0
2026-03-03,850.0,3770.0,1780.0,1450.0,51.0,3450.0
2026-03-04,830.0,3690.0,1640.0,1335.0,49.0,3200.0
2026-03-05,865.0,3750.0,1635.0,1320.0,45.0,3260.0
2026-03-06,840.0,3670.0,1555.0,1320.0,41.0,3190.0
2026-03-09,755.0,3570.0,1500.0,1280.0,41.0,3100.0
2026-03-10,785.0,3560.0,1500.0,1275.0,45.0,2960.0
2026-03-11,790.0,3580.0,1470.0,1305.0,49.0,3000.0
2026-03-12,765.0,3570.0,1435.0,1230.0,49.0,3020.0
2026-03-13,720.0,3510.0,1370.0,1195.0,48.0,2970.0
2026-03-16,685.0,3480.0,1250.0,1095.0,45.0,2960.0
2026-03-17,690.0,3480.0,1355.0,1125.0,48.0,3050.0
2026-03-25,740.0,3540.0,1405.0,1175.0,46.0,3300.0
2026-03-26,720.0,3490.0,1315.0,1125.0,47.0,3170.0
2026-03-27,735.0,3420.0,1330.0,1150.0,50.0,3050.0
2026-03-30,690.0,3360.0,1330.0,1130.0,48.0,3040.0
2026-03-31,670.0,3330.0,1365.0,1060.0,50.0,3060.0
2026-04-01,725.0,3350.0,1460.0,1130.0,49.0,3150.0
2026-04-02,675.0,3320.0,1280.0,1045.0,46.0,3130.0
2026-04-06,700.0,3310.0,1345.0,1110.0,47.0,3160.0
2026-04-07,690.0,3230.0,1460.0,1170.0,48.0,3100.0
2026-04-08,765.0,3340.0,1765.0,1230.0,49.0,3160.0
2026-04-09,840.0,3280.0,1855.0,1270.0,48.0,3190.0
2026-04-10,835.0,3390.0,1915.0,1345.0,47.0,3210.0
2026-04-13,840.0,3370.0,2190.0,1430.0,47.0,3190.0
2026-04-14,855.0,3460.0,2440.0,1515.0,51.0,3120.0
2026-04-15,825.0,3400.0,2380.0,1495.0,56.0,3090.0
2026-04-16,865.0,3410.0,2270.0,1545.0,57.0,3120.0
2026-04-17,855.0,3430.0,2230.0,1590.0,57.0,3100.0
2026-04-20,845.0,3440.0,2140.0,1535.0,55.0,3100.0
2026-04-21,865.0,3270.0,2300.0,1530.0,53.0,3010.0
2026-04-22,900.0,3240.0,2260.0,1510.0,53.0,3000.0
2026-04-23,1030.0,3160.0,2190.0,1400.0,53.0,2880.0
2026-04-24,995.0,3070.0,2020.0,1315.0,51.0,2810.0
2026-04-27,985.0,3050.0,2000.0,1315.0,52.0,2830.0
2026-04-28,975.0,3070.0,2010.0,1285.0,51.0,2820.0
2026-04-29,980.0,3070.0,1950.0,1300.0,52.0,2870.0
2026-04-30,980.0,2990.0,1835.0,1200.0,52.0,2810.0
2026-05-04,995.0,3040.0,1845.0,1160.0,52.0,2890.0
2026-05-05,965.0,3150.0,2300.0,1300.0,52.0,2880.0
2026-05-06,990.0,3160.0,2290.0,1240.0,53.0,2900.0
2026-05-07,925.0,3310.0,2160.0,1190.0,52.0,2930.0
2026-05-08,900.0,3260.0,2050.0,1120.0,50.0,2960.0
2026-05-11,870.0,3200.0,1985.0,1030.0,52.0,2960.0
2026-05-12,885.0,3220.0,2280.0,945.0,51.0,2950.0
2026-05-13,925.0,3120.0,2080.0,850.0,51.0,2960.0
2026-05-14,925.0,3120.0,2080.0,850.0,51.0,2960.0
2026-05-15,925.0,3120.0,2080.0,850.0,51.0,2960.0
2026-05-18,905.0,3060.0,2070.0,750.0,50.0,3080.0
2026-05-19,855.0,3040.0,1915.0,650.0,49.0,3080.0
2026-05-20,825.0,3040.0,1720.0,590.0,47.0,3100.0
2026-05-21,745.0,3020.0,1530.0,535.0,43.0,3000.0
2026-05-22,800.0,3050.0,1605.0,515.0,45.0,2920.0
2026-05-25,840.0,3170.0,1480.0,486.0,49.0,2930.0
