tanggal,id_transaksi,produk,kategori,jumlah,harga_satuan,total,kota
2026-04-15,TRX-0001,Pisang Goreng,Snack,4,10500,42000,Bandung
2026-01-15,TRX-0002,Air Mineral,Minuman,4,5000,20000,Medan
2026-05-16,TRX-0003,Sate Ayam,Makanan,1,30500,30500,Surabaya
2026-06-11,TRX-0004,Air Mineral,Minuman,4,4000,16000,Makassar
2026-04-13,TRX-0005,Pisang Goreng,Snack,2,11000,22000,Surabaya
2026-04-30,TRX-0006,Sate Ayam,Makanan,4,30000,120000,Jakarta
2026-04-25,TRX-0007,Ayam Geprek,Makanan,3,22000,66000,Medan
2026-01-12,TRX-0008,Martabak,Snack,3,35500,106500,Bandung
2026-01-10,TRX-0009,Martabak,Snack,1,36000,36000,Medan
2026-02-24,TRX-0010,Susu UHT,Minuman,2,7000,14000,Bandung
2026-02-26,TRX-0011,Teh Manis,Minuman,2,8500,17000,Bandung
2026-06-16,TRX-0012,Mie Ayam,Makanan,3,20000,60000,Surabaya
2026-03-28,TRX-0013,Air Mineral,Minuman,3,4500,13500,Medan
2026-01-15,TRX-0014,Pisang Goreng,Snack,3,10000,30000,Makassar
2026-05-14,TRX-0015,Air Mineral,Minuman,4,4500,18000,Makassar
2026-02-10,TRX-0016,Nasi Goreng,Makanan,4,25500,102000,Bandung
2026-01-29,TRX-0017,Ayam Geprek,Makanan,3,22500,67500,Bandung
2026-01-21,TRX-0018,Bakso,Makanan,1,18500,18500,Makassar
2026-01-27,TRX-0019,Mie Ayam,Makanan,3,21000,63000,Surabaya
2026-06-02,TRX-0020,Kue Lapis,Snack,3,15000,45000,Medan
2026-05-24,TRX-0021,Kue Lapis,Snack,2,15500,31000,Bandung
2026-02-04,TRX-0022,Keripik,Snack,4,13000,52000,Medan
2026-03-30,TRX-0023,Kopi Susu,Minuman,2,18000,36000,Medan
2026-01-07,TRX-0024,Sate Ayam,Makanan,2,31000,62000,Medan
2026-06-13,TRX-0025,Teh Manis,Minuman,2,8000,16000,Jakarta
2026-05-08,TRX-0026,Kopi Susu,Minuman,1,19000,19000,Medan
2026-05-14,TRX-0027,Kopi Susu,Minuman,2,18500,37000,Jakarta
2026-01-10,TRX-0028,Air Mineral,Minuman,4,4500,18000,Makassar
2026-03-04,TRX-0029,Susu UHT,Minuman,4,7500,30000,Bandung
2026-06-04,TRX-0030,Martabak,Snack,4,36000,144000,Bandung
